method,path,intended_persona,admitted_roles,permission,access_scope,staffpermission_can_grant,explicit_deny_applies,principal_tenant,target_tenant,actor,subject,ownership_requirement,state_requirement,audit_event,disclosure_behavior,service_layer_enforcement,final_status
DELETE,/v1/auth/api-keys/{key_id},TENANT_PROVIDER_MUTATION,tenant_owner + permission-granted staff,existing auth:* permission,mutation-capable required,yes,yes,token tenant_id,must equal principal tenant,token user_id,API key addressed by id,object/target must belong to principal tenant,validated in service,auth audit event,foreign target -> NotFound (no oracle),AuthService scopes query by tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
PATCH,/v1/auth/api-keys/{key_id},TENANT_PROVIDER_MUTATION,tenant_owner + permission-granted staff,existing auth:* permission,mutation-capable required,yes,yes,token tenant_id,must equal principal tenant,token user_id,API key addressed by id,object/target must belong to principal tenant,validated in service,auth audit event,foreign target -> NotFound (no oracle),AuthService scopes query by tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/auth/api-keys,TENANT_PROVIDER_MUTATION,tenant_owner + permission-granted staff,existing auth:* permission,mutation-capable required,yes,yes,token tenant_id,must equal principal tenant,token user_id,tenant-owned API key,object/target must belong to principal tenant,validated in service,auth audit event,foreign target -> NotFound (no oracle),AuthService scopes query by tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/auth/change-password-required,SELF_SERVICE_MUTATION,any authenticated principal,(none),n/a (self),no,n/a,n/a,n/a,token user_id,the principal itself,principal IS the object,current password / TOTP where applicable,auth audit event,n/a (self only),service acts on the passed user_id only,FULLY_PROTECTED
POST,/v1/auth/impersonate,PLATFORM_ADMIN_MUTATION,super_admin,platform:impersonate,n/a (platform),no,n/a,n/a (platform),resolved from target record,token user_id,target user,target must exist and be active,target must be active,impersonation audit + redis session,inactive target -> CONFLICT,AuthService enforces super_admin,PLATFORM_ADMIN_ONLY
POST,/v1/auth/mfa/confirm,SELF_SERVICE_MUTATION,any authenticated principal,(none),n/a (self),no,n/a,n/a,n/a,token user_id,the principal itself,principal IS the object,current password / TOTP where applicable,auth audit event,n/a (self only),service acts on the passed user_id only,FULLY_PROTECTED
POST,/v1/auth/mfa/disable,SELF_SERVICE_MUTATION,any authenticated principal,(none),n/a (self),no,n/a,n/a,n/a,token user_id,the principal itself,principal IS the object,current password / TOTP where applicable,auth audit event,n/a (self only),service acts on the passed user_id only,FULLY_PROTECTED
POST,/v1/auth/staff/invite,TENANT_PROVIDER_MUTATION,tenant_owner + permission-granted staff,existing auth:* permission,mutation-capable required,yes,yes,token tenant_id,must equal principal tenant,token user_id,new staff user in a tenant,object/target must belong to principal tenant,validated in service,auth audit event,foreign target -> NotFound (no oracle),AuthService scopes query by tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/auth/staff/{user_id}/deactivate,TENANT_PROVIDER_MUTATION,tenant_owner + permission-granted staff,existing auth:* permission,mutation-capable required,yes,yes,token tenant_id,must equal principal tenant,token user_id,staff user addressed by id,object/target must belong to principal tenant,validated in service,auth audit event,foreign target -> NotFound (no oracle),AuthService scopes query by tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
PUT,/v1/auth/me,SELF_SERVICE_MUTATION,any authenticated principal,(none),n/a (self),no,n/a,n/a,n/a,token user_id,the principal itself,principal IS the object,current password / TOTP where applicable,auth audit event,n/a (self only),service acts on the passed user_id only,FULLY_PROTECTED
PUT,/v1/auth/password/change,SELF_SERVICE_MUTATION,any authenticated principal,(none),n/a (self),no,n/a,n/a,n/a,token user_id,the principal itself,principal IS the object,current password / TOTP where applicable,auth audit event,n/a (self only),service acts on the passed user_id only,FULLY_PROTECTED
PUT,/v1/auth/staff/{user_id}/permissions,TENANT_PROVIDER_MUTATION,tenant_owner + permission-granted staff,existing auth:* permission,mutation-capable required,yes,yes,token tenant_id,must equal principal tenant,token user_id,staff user addressed by id,object/target must belong to principal tenant,validated in service,auth audit event,foreign target -> NotFound (no oracle),AuthService scopes query by tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
