parent_job_type,parent_status,child_job_type,create_job_accepts_before_this_slice,convert_to_repair_accepts,spawn_repair_accepts,existing_repair_child,disposition
consultation,draft,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,pending_assignment,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,assigned,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,arrived,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,assessment_started,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,assessment_complete,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,quote_sent (quote_pending),repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,quote_approved,repair,yes,yes,yes,no,VALID_REPAIR_SOURCE
consultation,quote_approved,repair,yes (defect -- duplicate),yes (rejects),yes (rejects),yes,DUPLICATE_REPAIR_REJECTED (fixed 2F-14D)
consultation,quote_rejected,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,cancelled,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,voided,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,closed,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,completed,repair,yes (defect),no,no,no,INVALID_PARENT_STATE (fixed this slice)
consultation,converted_to_repair,repair,yes (defect -- duplicate),no,no,yes,DUPLICATE_REPAIR_REJECTED (fixed 2F-14D)
repair,(any),repair,yes,n/a (convert_to_repair only accepts CONSULTATION parents),n/a,n/a,VALID_GENERIC_PARENT / MULTIPLE_CHILDREN_ALLOWED -- no status gate exists or was added
service,(any),(any),yes,n/a,n/a,n/a,VALID_GENERIC_PARENT / MULTIPLE_CHILDREN_ALLOWED
consultation,(any status),service or consultation (not repair),yes,n/a,n/a,n/a,VALID_GENERIC_PARENT -- the CONSULTATION-source status gate only applies when child job_type==repair
other tenant's job,(any),(any),FOREIGN_PARENT_JOB rejected,n/a,n/a,n/a,OWNERSHIP_REJECTED (pre-existing, 2F-14C)
other customer's job (customer_id explicitly supplied and mismatched),(any),(any),CUSTOMER_PARENT_JOB_MISMATCH rejected,n/a,n/a,n/a,OWNERSHIP_REJECTED (2F-14D)
