rank,module,engine,route_count,canonical_row_references,severity,primary_risk,main_gap,persona_policy_needed,ownership_policy_needed,state_integrity_policy_needed,alternate_routes,product_decision_dependency,recommended_slice,implementation_ready,prerequisite
0 (PROTECTED IN 2F-18),app.engines.platform_notifications.provider_router,platform_notifications,10,see ../phase-02a-slice-02f18/provider-router-final-route-inventory.csv,CLOSED,was zero auth on core comms surface -- now require_owner_or_office_staff_mutation / require_staff_or_technician_only,NONE (was AUTHENTICATED_ONLY),done -- provider (owner/staff) vs staff (staff/technician) split confirmed and enforced,done -- thread/record ownership enforced (tenant+customer match on linked record),no (no state machine involved),none found (customer_router.py alternate route also fixed in 2F-18),none,2F-18 (DONE),yes,none
1,app.engines.compliance.provider_router,compliance,6,see remaining-tenant-mutation-routes.csv (2F-17),HIGH,DPDP regulatory data with scope-without-ownership gap,PERMISSION_WITHOUT_SCOPE,no (existing permission model sufficient),yes -- request/consent parent-tenant match to investigate,possibly (export generation state),none found,possible -- export rate-limiting,2F-19 (tentative),mostly,object-ownership investigation
2,app.engines.package_commerce.tenant_router,package_commerce,1,see remaining-tenant-mutation-routes.csv (2F-17),MEDIUM,financial/entitlement transaction,PERMISSION_WITHOUT_SCOPE,no,yes,possibly (purchase idempotency),none found,possible -- purchase/entitlement semantics,bundle with a future finance-adjacent slice,mostly,purchase semantics decision
3,app.engines.customer_reviews.provider_router,customer_reviews,2,see remaining-tenant-mutation-routes.csv (2F-17),MEDIUM,public-facing content / provider impersonation risk,AUTHENTICATED_ONLY,no,yes -- review ownership to investigate,no,none found,none,own small slice or bundle with platform_notifications,yes,none
4,app.engines.marketing_automation.provider_router,marketing_automation,3,see remaining-tenant-mutation-routes.csv (2F-17),MEDIUM,zero-auth but limited caller evidence,AUTHENTICATED_ONLY,no,yes -- campaign/asset ownership to investigate,possibly (campaign review state),none found,none,small future slice,yes,none
5,app.engines.media.new_router,media,6,see remaining-tenant-mutation-routes.csv (2F-17),LOW-MEDIUM,scope-without-ownership on media uploads,PERMISSION_WITHOUT_SCOPE,no,no (media is self-owned by construction -- own logo/photo),no,none found,none,small future slice,yes,none
6,app.engines.profile.router,profile,3,see remaining-tenant-mutation-routes.csv (2F-17),LOW-MEDIUM,scope-without-ownership on self-profile,PERMISSION_WITHOUT_SCOPE,no,no (self-profile by construction),possibly (business-profile review state),none found,none,bundle with media.new_router,yes,none
7,app.engines.admin_catalog.brand_provider_router,admin_catalog,2,see remaining-tenant-mutation-routes.csv (2F-17),LOW,scope-without-ownership,PERMISSION_WITHOUT_SCOPE,no,yes -- service_id parent ownership to investigate,no,none found,none,bundle with recommendation_router/service_option_provider_router,yes,none
8,app.engines.admin_catalog.recommendation_router,admin_catalog,1,see remaining-tenant-mutation-routes.csv (2F-17),LOW,scope-without-ownership,PERMISSION_WITHOUT_SCOPE,no,no,no,none found,none,bundle with brand_provider_router,yes,none
9,app.engines.admin_catalog.service_option_provider_router,admin_catalog,1,see remaining-tenant-mutation-routes.csv (2F-17),LOW,scope-without-ownership,PERMISSION_WITHOUT_SCOPE,no,yes -- service_id parent ownership to investigate,no,none found,none,bundle with brand_provider_router,yes,none
10,app.engines.analytics.provider_router,analytics,1,see remaining-tenant-mutation-routes.csv (2F-17),LOW,zero-auth on low-traffic route,AUTHENTICATED_ONLY,no,no,no,none found,none,bundle with any small future slice,yes,none

Route-count sum check: 10 (rank 0, selected) + 6+1+2+3+6+3+2+1+1+1 (ranks 1-10) = 10 + 26 = 36 -- matches the global unprotected count exactly.
