method,path,endpoint_name,module_source_file,auto_classification,dependency_names,guard_status,required_action,verification_level
POST,/v1/provider/availability,create_availability,app.engines.provider_portal.router,TENANT_USER_MUTATION,create_availability|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/availability/exceptions,create_availability_exception,app.engines.provider_portal.router,TENANT_USER_MUTATION,create_availability_exception|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
PUT,/v1/provider/availability/exceptions/{exception_id},update_availability_exception,app.engines.provider_portal.router,TENANT_USER_MUTATION,update_availability_exception|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
DELETE,/v1/provider/availability/exceptions/{exception_id},delete_availability_exception,app.engines.provider_portal.router,TENANT_USER_MUTATION,delete_availability_exception|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/availability/preset/{preset_key},apply_availability_preset,app.engines.provider_portal.router,TENANT_USER_MUTATION,apply_availability_preset|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
DELETE,/v1/provider/availability/preset/{preset_key},delete_availability_preset,app.engines.provider_portal.router,TENANT_USER_MUTATION,delete_availability_preset|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
PUT,/v1/provider/availability/{rule_id},update_availability,app.engines.provider_portal.router,TENANT_USER_MUTATION,update_availability|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
DELETE,/v1/provider/availability/{rule_id},delete_availability,app.engines.provider_portal.router,TENANT_USER_MUTATION,delete_availability|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
PUT,/v1/provider/booking-window,update_booking_window,app.engines.provider_portal.router,TENANT_USER_MUTATION,update_booking_window|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,TENANT_USER_MUTATION,create_brand_request|require_technician|get_current_user|_svc|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_staff_or_above_mutation (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
