capability,initiator,approver,executor,record_owner,required_persona,required_permission,tenant_ownership,lead_ownership,required_source_state,result_state,audit_requirement,frontend_caller,product_policy_uncertainty
Accept lead,tenant staff/owner,n/a,assigned agent,tenant,TENANT_OWNER_OR_DELEGATED_STAFF (assigned),none (no REAL_ESTATE_* permission exists),tenant_id filter (existing),agent_id exact match (existing),new,accepted,RealEstateLeadExecutionEvent (existing),tenant-portal (realEstateExecutionApi.accept),none
Reject lead,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,new,rejected,same,none (no frontend caller found),none
Mark contacted,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,accepted,contacted,same,tenant-portal,none
Schedule follow-up,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,contacted/follow_up/site_visit_completed,follow_up,same,tenant-portal,none
Plan site visit,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,contacted/follow_up,site_visit_planned,same,tenant-portal,none
Complete site visit,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,site_visit_planned,site_visit_completed,same,tenant-portal,none
Qualify lead,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,contacted/site_visit_completed,qualified,same,tenant-portal,none
Disqualify lead,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,accepted/contacted/follow_up,unqualified (final),same,none (no frontend caller found),none
Convert lead,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,follow_up/site_visit_completed/qualified,converted (final),same,tenant-portal,whether conversion should create a downstream booking/customer record -- no such linkage exists in this codebase; not addressed (out of scope: "do not merge property inquiries with service bookings")
Close lost,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,most non-final states,closed_lost (final),same,tenant-portal,none
Add note,tenant staff/owner,n/a,assigned agent,tenant,same,none,same,same,any (no status change),unchanged,same,tenant-portal,whether is_customer_visible should be independently permission-gated -- no evidence found either way
