observation_route,related_module,related_canonical_route,related_held_route,static_evidence,executed,confidence,potential_impact,required_investigation
POST /v1/security/sessions/{session_id}/revoke,adjacent to M01 (security.router),none (not canonical),held: no,revokes by session id; principal never referenced,no,HIGH,cross-user session revocation,investigate with M01 identity work; separate module for remediation
POST /v1/security/audit-log,adjacent to M01 (security.router),none,held: no,accepts arbitrary authenticated audit entries,no,MEDIUM,audit forgery weakens all other controls,separate security_audit module
DELETE /v1/pricing/tenants/{tenant_id}/rules/{rule_id},no canonical module in queue,none,held: yes,delete_rule(rule_id) discards URL tenant_id,no,HIGH,cross-tenant delete,pricing module (future)
DELETE /v1/rag/knowledge-bases/{kb_id},M09_rag_knowledge (adjacent),none,held: yes,delete_kb(kb_id) no tenant,no,MEDIUM,cross-tenant delete,rag module (future)
DELETE /v1/media/{media_id},M02_media_assets,none (delete route not canonical),held: yes,delete_asset(media_id) no tenant,no,MEDIUM,cross-tenant delete,M02 module-level adjudication
DELETE /v1/rag/documents/{doc_id},M09_rag_knowledge (adjacent),none,held: yes,delete_document(doc_id) no tenant,no,MEDIUM,cross-tenant delete,rag module (future)
POST /v1/commerce/tenants/{tenant_id}/badges/recalculate,M06_security_deposit (commerce),none,held: yes,read permission TENANT_HEALTH_READ gating a write,no,MEDIUM,privilege mismatch,M06/commerce module
DELETE /v1/webhooks/endpoints/{endpoint_id},M10_webhook_integration,CANONICAL (2F-27A),held: no,"client-asserted tenant_id, no principal-vs-target check",no,MEDIUM,cross-tenant webhook deletion,M10 module
DELETE /v1/geo/zones/{zone_id},M11_geo_zones,CANONICAL (2F-27A),held: no,"deletes by zone_id, no tenant predicate at all",no,HIGH,cross-tenant zone deletion,M11 module
(+28 further observations carried in 2F-26H/2F-27 registries),various,various,various,static reading only,no,LOW-MEDIUM,various,map during the owning module's slice
