method,path,authentication,canonical_admitted_roles,permission,mutation_access_scope,principal_tenant_derivation,object_or_parent_tenant_lookup,object_ownership,assignment,actor_derivation,subject_derivation,client_field_authority,state_transition_validation,service_layer_enforcement,alternate_route_closure,internal_caller_preservation,read_privacy_linkage,audit_logging,idempotency_concurrency
DELETE,/v1/auth/api-keys/{key_id},required (bearer),tenant_owner + permission-granted staff,auth:apikeys:manage,MUST deny read-only mutation scope,principal.tenant_id,MUST load object and compare its tenant to principal tenant,MUST prove object belongs to principal tenant,N/A,"principal.user_id (actor, attribution only)","path {user_id}/{key_id} (target, NOT the actor)",MUST NOT trust client-supplied tenant_id,MUST verify target not already deactivated / key not already revoked,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),"MUST audit (who, target, when)",MUST be idempotent/safe under concurrent revoke
PATCH,/v1/auth/api-keys/{key_id},required (bearer),tenant_owner + permission-granted staff,auth:apikeys:manage,MUST deny read-only mutation scope,principal.tenant_id,MUST load object and compare its tenant to principal tenant,MUST prove object belongs to principal tenant,N/A,"principal.user_id (actor, attribution only)","path {user_id}/{key_id} (target, NOT the actor)",MUST NOT trust client-supplied tenant_id,MUST verify target not already deactivated / key not already revoked,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),"MUST audit (who, target, when)",MUST be idempotent/safe under concurrent revoke
POST,/v1/auth/api-keys,required (bearer),tenant_owner + permission-granted staff,auth:apikeys:manage,MUST deny read-only mutation scope,principal.tenant_id,MUST load object and compare its tenant to principal tenant,MUST prove object belongs to principal tenant,N/A,"principal.user_id (actor, attribution only)","path {user_id}/{key_id} (target, NOT the actor)",MUST NOT trust client-supplied tenant_id,MUST verify target not already deactivated / key not already revoked,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),"MUST audit (who, target, when)",MUST be idempotent/safe under concurrent revoke
POST,/v1/auth/change-password-required,required (bearer),self-service: any authenticated principal,none required (self),N/A (self),N/A,N/A,principal IS the object,N/A,principal.user_id,principal.user_id,no client tenant accepted,MUST verify current-password / TOTP,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),MUST audit credential change,N/A
POST,/v1/auth/impersonate,required (bearer),super_admin/admin_security only,platform:impersonate,MUST deny read-only mutation scope,principal.tenant_id,MUST load object and compare its tenant to principal tenant,MUST prove object belongs to principal tenant,N/A,"principal.user_id (actor, attribution only)","path {user_id}/{key_id} (target, NOT the actor)",MUST NOT trust client-supplied tenant_id,MUST bound impersonation scope + expiry,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),"MUST audit (who, target, when)",N/A
POST,/v1/auth/mfa/confirm,required (bearer),self-service: any authenticated principal,none required (self),N/A (self),N/A,N/A,principal IS the object,N/A,principal.user_id,principal.user_id,no client tenant accepted,MUST verify current-password / TOTP,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),MUST audit credential change,N/A
POST,/v1/auth/mfa/disable,required (bearer),self-service: any authenticated principal,none required (self),N/A (self),N/A,N/A,principal IS the object,N/A,principal.user_id,principal.user_id,no client tenant accepted,MUST verify current-password / TOTP,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),MUST audit credential change,N/A
POST,/v1/auth/staff/invite,required (bearer),tenant_owner + permission-granted staff,auth:staff:* / auth:permissions:manage,MUST deny read-only mutation scope,principal.tenant_id,MUST load object and compare its tenant to principal tenant,MUST prove object belongs to principal tenant,N/A,"principal.user_id (actor, attribution only)","path {user_id}/{key_id} (target, NOT the actor)",MUST NOT trust client-supplied tenant_id,MUST verify target not already deactivated / key not already revoked,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),"MUST audit (who, target, when)",N/A
POST,/v1/auth/staff/{user_id}/deactivate,required (bearer),tenant_owner + permission-granted staff,auth:staff:* / auth:permissions:manage,MUST deny read-only mutation scope,principal.tenant_id,MUST load object and compare its tenant to principal tenant,MUST prove object belongs to principal tenant,N/A,"principal.user_id (actor, attribution only)","path {user_id}/{key_id} (target, NOT the actor)",MUST NOT trust client-supplied tenant_id,MUST verify target not already deactivated / key not already revoked,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),"MUST audit (who, target, when)",N/A
PUT,/v1/auth/me,required (bearer),self-service: any authenticated principal,none required (self),N/A (self),N/A,N/A,principal IS the object,N/A,principal.user_id,principal.user_id,no client tenant accepted,MUST verify current-password / TOTP,"MUST enforce in AuthService, not only the router",MUST check alternate routes (tenant_engine.portal_router staff deactivate),internal/system callers must keep working,MUST NOT leak existence of foreign objects (404 not 403),MUST audit credential change,N/A
