artifact,class,status,reason
implementation-summary.md,REQUIRED,PRODUCED,
authoritative-unprotected-route-inventory.csv,REQUIRED,PRODUCED,
canonical-queue-reconciliation.md,REQUIRED,PRODUCED,
implementation-module-boundaries.csv,REQUIRED,PRODUCED,
module-route-membership.csv,REQUIRED,PRODUCED,
risk-scoring-model.md,REQUIRED,PRODUCED,
module-risk-scoring.csv,REQUIRED,PRODUCED,
critical-risk-flags.csv,REQUIRED,PRODUCED,
held-candidate-module-cross-reference.csv,REQUIRED,PRODUCED,
security-observation-module-cross-reference.csv,REQUIRED,PRODUCED,
module-selection-decision.md,REQUIRED,PRODUCED,
selected-canonical-route-scope.csv,REQUIRED,PRODUCED,
selected-held-adjudication-scope.csv,REQUIRED,PRODUCED,
selected-out-of-scope-adjacent-routes.csv,REQUIRED,PRODUCED,
selected-scope-hash-evidence.md,REQUIRED,PRODUCED,
authorization-evidence-requirements.csv,REQUIRED,PRODUCED,
held-route-adjudication-contract.md,REQUIRED,PRODUCED,
selected-module-test-plan.md,REQUIRED,PRODUCED,
selected-module-implementation-contract.md,REQUIRED,PRODUCED,
selection-verifier-spec.md,REQUIRED,PRODUCED,
selection-verification-report.md,REQUIRED,PRODUCED,
verifier-negative-fixture-report.md,REQUIRED,PRODUCED,
canonical-hash-evidence.md,REQUIRED,PRODUCED,
matrix-hash-evidence.md,REQUIRED,PRODUCED,
historical-document-preservation.md,REQUIRED,PRODUCED,
behavioral-invariant-report.md,REQUIRED,PRODUCED,
regression-comparison.csv,REQUIRED,PRODUCED,
environment-test-evidence.md,REQUIRED,PRODUCED,
product-decisions-required.md,REQUIRED,PRODUCED,
known-limitations.md,REQUIRED,PRODUCED,
deferred-items.md,REQUIRED,PRODUCED,
documentation-corrections.md,REQUIRED,PRODUCED,
test-quality-report.md,REQUIRED,PRODUCED,
test-report.md,REQUIRED,PRODUCED,
approval-gate.md,REQUIRED,PRODUCED,
artifact-manifest.csv,REQUIRED,PRODUCED,
