method,path,endpoint,guard_status,capability_family,capability_action,mutated_resource,subject
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE,identity_access,revoke,ApiKey (api_keys),API key addressed by id
PATCH,/v1/auth/api-keys/{key_id},update_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE,identity_access,update,ApiKey (api_keys),API key addressed by id
POST,/v1/auth/api-keys,create_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE,identity_access,create,ApiKey (api_keys),tenant-owned API key
POST,/v1/auth/change-password-required,change_password_required,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,identity_access,update,User.password_hash,the authenticated principal
POST,/v1/auth/impersonate,impersonate,PERMISSION_ONLY_NOT_SCOPE_AWARE,identity_access,execute,Session/token,target user assumed by a platform principal
POST,/v1/auth/mfa/confirm,confirm_mfa,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,identity_access,confirm,MfaSecret,the authenticated principal
POST,/v1/auth/mfa/disable,disable_mfa,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,identity_access,deactivate,MfaSecret,the authenticated principal
POST,/v1/auth/staff/invite,invite_staff,PERMISSION_ONLY_NOT_SCOPE_AWARE,staff_management,create,User (staff),new staff user in a tenant
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,PERMISSION_ONLY_NOT_SCOPE_AWARE,staff_management,deactivate,User (staff),staff user addressed by id
PUT,/v1/auth/me,update_profile,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,identity_access,update,User (self profile),the authenticated principal
PUT,/v1/auth/password/change,change_password,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,identity_access,update,User.password_hash,the authenticated principal
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,PERMISSION_ONLY_NOT_SCOPE_AWARE,staff_management,update,StaffPermission,staff user addressed by id
