method,path,endpoint,module,final_persona,basis,evidence_level,admitted_roles,actor_derivation,tenant_derivation,role_branching,db_writes,external_effects,auth_dependencies
POST,/v1/auth/mfa/setup,setup_mfa,app.engines.auth.router,SELF_PRINCIPAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,add|sqlalchemy.update(),,get_current_user
POST,/v1/auth/mfa/backup-codes/regenerate,regenerate_backup_codes,app.engines.auth.router,SELF_PRINCIPAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,add|sqlalchemy.update(),,get_current_user
POST,/v1/auth/logout,logout,app.engines.auth.router,SELF_PRINCIPAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,add,,get_current_user
POST,/v1/auth/logout-all,logout_all,app.engines.auth.router,SELF_PRINCIPAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,add,,get_current_user
DELETE,/v1/auth/sessions/{session_id},revoke_session,app.engines.auth.router,SELF_PRINCIPAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,add,,get_current_user
POST,/v1/auth/staff/{user_id}/invite/resend,resend_invite,app.engines.auth.router,SELF_PRINCIPAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,add,,require_auth_staff_invite|get_current_user
PUT,/v1/auth/staff/{user_id}/schedule,update_staff_schedule,app.engines.auth.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,raw_sql,,require_staff_manage|get_current_user
GET,/v1/auth/login-history,get_own_login_history,app.engines.auth.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.get_login_history); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,service:service.get_login_history,no,add,,get_current_user
POST,/v1/auth/sessions/revoke-all-other,revoke_all_other_sessions,app.engines.auth.router,SELF_PRINCIPAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,add,,get_current_user
PUT,/v1/tenants/{tenant_id},update_tenant,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|raw_sql,,require_tenant_mutation_tenant_update|get_current_user|get_current_user
