verb,mapped_action,documented
abort,cancel,yes
accept,approve,yes
activate,activate,yes
add,create,yes
apply,execute,yes
approve,approve,yes
assign,execute,yes
cancel,cancel,yes
change,update,yes
compute,execute,yes
config,update,yes
configure,update,yes
confirm,confirm,yes
create,create,yes
deactivate,deactivate,yes
decline,reject,yes
delete,delete,yes
destroy,delete,yes
disable,deactivate,yes
dispatch,execute,yes
downgrade,update,yes
download,export,yes
edit,update,yes
enable,activate,yes
estimate,preview,yes
execute,execute,yes
export,export,yes
generate,create,yes
hold,create,yes
import,import,yes
ingest,import,yes
initiate,create,yes
invalidate,revoke,yes
issue,create,yes
logout,revoke,yes
modify,update,yes
new,create,yes
open,create,yes
patch,update,yes
preview,preview,yes
provision,create,yes
publish,activate,yes
purge,delete,yes
reassign,execute,yes
recalculate,recalculate,yes
recompute,recalculate,yes
reenable,activate,yes
regenerate,rotate,yes
register,create,yes
reinstate,activate,yes
reject,reject,yes
remove,delete,yes
resend,resend,yes
reserve,create,yes
retry,resend,yes
revoke,revoke,yes
rotate,rotate,yes
run,execute,yes
set,update,yes
simulate,preview,yes
submit,create,yes
suspend,deactivate,yes
terminate,deactivate,yes
trigger,execute,yes
update,update,yes
upgrade,update,yes
upload,import,yes
verify,confirm,yes
