method,path,m_side_effect,t_side_effect,agree_side_effect,m_capability_family,t_capability_family,agree_capability_family,m_capability_action,t_capability_action,agree_capability_action,m_persona,t_persona,agree_persona,m_tenant_direction,t_tenant_direction,agree_tenant_direction,m_abstention,t_abstention
DELETE,/v1/rag/documents/{doc_id},DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,delete,delete,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/appointments/{appointment_id}/cancel,DATABASE_MUTATION,DATABASE_MUTATION,True,booking,booking,True,cancel,cancel,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/appointments/{appointment_id}/no-show,DATABASE_MUTATION,DATABASE_MUTATION,True,booking,booking,True,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ACTION_ADJUDICATION,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,OBJECT_DERIVED_TENANT,OBJECT_DERIVED_TENANT,True,,
POST,/v1/auth/mfa/backup-codes/regenerate,DATABASE_MUTATION,DATABASE_MUTATION,True,identity_access,identity_access,True,rotate,rotate,True,SELF_SERVICE_MUTATION,SELF_SERVICE_MUTATION,True,NO_TENANT_AUTHORITY_REQUIRED,NO_TENANT_AUTHORITY_REQUIRED,True,,
POST,/v1/catalog,DATABASE_MUTATION,DATABASE_MUTATION,True,catalog,catalog,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
POST,/v1/chat/conversations/{conversation_id}/messages,DATABASE_MUTATION,DATABASE_MUTATION,True,notification,notification,True,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ACTION_ADJUDICATION,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
POST,/v1/compliance/portability-requests,DATABASE_MUTATION,DATABASE_MUTATION,True,compliance,compliance,True,REQUIRES_MANUAL_ACTION_ADJUDICATION,export,False,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
POST,/v1/dispatch/jobs/{job_id}/reject,DATABASE_MUTATION,DATABASE_MUTATION,True,job_execution,job_execution,True,reject,reject,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ACTION_ADJUDICATION,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
POST,/v1/media/upload/initiate,DATABASE_MUTATION,DATABASE_MUTATION,True,media,media,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
