method,path,compound_action_checked,post_noncreate_checked,qualified_service_checked,state_machine_checked,http_fallback_checked,action_conflict_checked,mutating_get_checked,assignment_vs_comparison_checked,request_aliases_checked,actor_vs_ownership_checked,tenant_authority_checked,checklist_pass,reviewer_note
DELETE,/v1/rag/documents/{doc_id},yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,object addressed by id; ownership predicate in service not traceable from handler; no tenant -> abstain
POST,/v1/appointments/{appointment_id}/cancel,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,object addressed by id; ownership predicate in service not traceable from handler; no tenant -> abstain
POST,/v1/appointments/{appointment_id}/no-show,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,"action verb not in frozen synonym table (check/send/receive/no-show/reindex/ingest-as-object) -> abstain, not forced to create"
POST,/v1/auth/mfa/backup-codes/regenerate,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/catalog,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/chat/conversations/{conversation_id}/messages,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,"action verb not in frozen synonym table (check/send/receive/no-show/reindex/ingest-as-object) -> abstain, not forced to create"
POST,/v1/compliance/portability-requests,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,"action verb not in frozen synonym table (check/send/receive/no-show/reindex/ingest-as-object) -> abstain, not forced to create"
POST,/v1/dispatch/jobs/{job_id}/reject,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,object addressed by id; ownership predicate in service not traceable from handler; no tenant -> abstain
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,"action verb not in frozen synonym table (check/send/receive/no-show/reindex/ingest-as-object) -> abstain, not forced to create"
POST,/v1/media/upload/initiate,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/notifications/send,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,"action verb not in frozen synonym table (check/send/receive/no-show/reindex/ingest-as-object) -> abstain, not forced to create"
POST,/v1/rag/documents/{doc_id}/reindex,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,"action verb not in frozen synonym table (check/send/receive/no-show/reindex/ingest-as-object) -> abstain, not forced to create"
POST,/v1/rag/knowledge-bases,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/rag/knowledge-bases/{kb_id}/documents,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,object addressed by id; ownership predicate in service not traceable from handler; no tenant -> abstain
POST,/v1/security/api-keys/{key_id}/revoke,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/security/api-keys/{key_id}/rotate,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/serviceability/check,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,"action verb not in frozen synonym table (check/send/receive/no-show/reindex/ingest-as-object) -> abstain, not forced to create"
PUT,/v1/appointments/staff/{staff_id}/working-hours,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
PUT,/v1/auth/staff/{user_id}/schedule,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,object addressed by id; ownership predicate in service not traceable from handler; no tenant -> abstain
PUT,/v1/catalog/{item_id},yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,object addressed by id; ownership predicate in service not traceable from handler; no tenant -> abstain
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
PUT,/v1/rag/knowledge-bases/{kb_id},yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,object addressed by id; ownership predicate in service not traceable from handler; no tenant -> abstain
PUT,/v1/settings/tenants/{tenant_id}/{key},yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,PASS,
