method,path,before,after
POST,/v1/pricing/tenants/{tenant_id}/prices/set,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/pricing/tenants/{tenant_id}/zones,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/pricing/tenants/{tenant_id}/rules,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/pricing/compute,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,PENDING_MODULE_ADJUDICATION,PLATFORM_ADMIN_EXCLUDE (final -- already protected, excluded from tenant-only CSV)
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/commerce/warranty/claims,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/payments/tenants/{tenant_id}/payout,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected; amount-validation remains PRODUCT_DECISION_REQUIRED)
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/compliance/deletion-requests,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/compliance/portability-requests,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
