method,path,held_module,disposition,rationale,canonical_added,protected_this_slice
POST,/v1/pricing/tenants/{tenant_id}/prices/set,pricing,TENANT_PROVIDER_MUTATION_ADD,"Genuine tenant mutation; tenant_id was fully client-controlled with zero comparison to actor's own tenant. Fixed via PricingService._require_trusted_tenant.",YES,YES
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,pricing,TENANT_PROVIDER_MUTATION_ADD,"Same defect and fix as set_tenant_price.",YES,YES
POST,/v1/pricing/tenants/{tenant_id}/zones,pricing,TENANT_PROVIDER_MUTATION_ADD,"Same defect and fix as set_tenant_price.",YES,YES
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,TENANT_PROVIDER_MUTATION_ADD,"zone_id-only lookup with ZERO tenant scoping at all (not even the client-supplied path tenant_id was compared) -- any tenant could update another tenant's zone surcharge by guessing/enumerating a zone_id. Fixed via require_tenant_mutation_permission + an added tenant_id parameter and ownership check on ZoneSurcharge.",YES,YES
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,TENANT_PROVIDER_MUTATION_ADD,"Same defect and fix as update_zone.",YES,YES
POST,/v1/pricing/tenants/{tenant_id}/rules,pricing,TENANT_PROVIDER_MUTATION_ADD,"Same defect and fix as set_tenant_price.",YES,YES
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,TENANT_PROVIDER_MUTATION_ADD,"rule_id-only lookup with ZERO tenant scoping -- same defect class as update_zone. Fixed via require_tenant_mutation_permission + an added tenant_id parameter and ownership check on DynamicPricingRule.",YES,YES
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,TENANT_PROVIDER_MUTATION_ADD,"Same defect and fix as update_rule.",YES,YES
POST,/v1/pricing/compute,pricing,TENANT_PROVIDER_MUTATION_ADD,"Mixed persona by design (customers preview/compute prices across multiple providers' tenants -- this is not the caller's own tenant, it is the provider being priced, so no server-derived-tenant fix applies). Fixed via require_mutation_access_scope (adds only the read-only-scope floor, no role narrowing).",YES,YES
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,commerce,PLATFORM_ADMIN_EXCLUDE,"Platform-admin-only mutation targeting an arbitrary tenant's deposit by design (Finance Admin manual adjustment tool) -- already correctly gated by require_permission(P.FINANCE_DEPOSITS_UPDATE), a permission granted only to platform staff roles. Not a tenant-self mutation; excluded from the tenant-only canonical CSV by the same Design A convention used for booking's void_booking (Slice 2F-15C precedent).",NO,YES (already protected)
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,commerce,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation creating a real payment order + DB row; tenant_id was fully client-controlled with zero comparison to actor's own tenant (the pre-existing _assert_owns_tenant_deposit helper was never called here). Fixed via require_tenant_mutation_permission + calling the existing helper.",YES,YES
POST,/v1/commerce/warranty/claims,commerce,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation with a client-supplied amount_requested and ZERO parent-job verification -- any caller could file a claim against an arbitrary tenant_id/job_id pair with no proof the job existed, belonged to that tenant, or belonged to the claiming customer. Fixed via require_mutation_access_scope + an added ServiceJob parent-ownership check (job.tenant_id/customer_id must match).",YES,YES
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,commerce,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation (writes TenantBadge rows) previously guarded by a READ permission (require_permission(P.TENANT_HEALTH_READ)) -- a direct violation of 'do not use a read permission for mutation behavior'; also zero tenant scoping. Fixed via require_tenant_mutation_permission(P.TENANT_UPDATE) + CommerceService._assert_owns_tenant_deposit.",YES,YES
POST,/v1/payments/tenants/{tenant_id}/payout,payments,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation; tenant_id was fully client-controlled. Fixed via PaymentService._require_trusted_tenant. The requested `amount` itself remains fully client-supplied with NO authoritative payout-eligible-balance ledger anywhere in the codebase to validate against -- per the mission's canonical rule ('do not invent payout or withdrawal behavior') this financial-integrity gap is NOT remediated; disposition is TENANT_PROVIDER_MUTATION_ADD for the authorization dimension, but the module's overall status is PRODUCT_POLICY_BLOCKED on the amount-validation dimension. See known-limitations.md.",YES,YES (auth only; amount validation remains an open product-policy gap)
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,subscriptions,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation; tenant_id was fully client-controlled with zero comparison to actor's own tenant. The mutated `amount` is already server-derived from a PLAN_PRICES lookup table (not client-trusted). Fixed via SubscriptionService._require_trusted_tenant.",YES,YES
POST,/v1/compliance/deletion-requests,compliance,TENANT_PROVIDER_MUTATION_ADD,"An existing, fully-implemented DPDP right-to-erasure workflow already exists in this codebase (request/list/process, admin process already protected) -- per the frozen contract's instruction to adjudicate compliance candidates ONLY where existing policy supports it, this qualifies. The missing piece was authorization, not policy: user_id was fully client-supplied with no comparison to the caller's own identity, letting any authenticated user request erasure of a DIFFERENT user's data. Fixed via a self-only ownership check (super_admin exempt for on-behalf-of processing) + require_mutation_access_scope. No new deletion/retention POLICY was invented.",YES,YES
POST,/v1/compliance/portability-requests,compliance,TENANT_PROVIDER_MUTATION_ADD,"Same existing-workflow finding and same self-only ownership fix as request_deletion.",YES,YES
