file,category
implementation-summary.md,summary
frozen-scope-verification.md,scope
per-module-runtime-inventory.csv,scope
per-module-authority-contract.csv,authority
held-route-adjudication.csv,authority
mutation-scope-enforcement-report.md,authority
principal-tenant-authority-audit.csv,authority
object-parent-ownership-audit.csv,authority
service-layer-enforcement-audit.csv,authority
financial-authority-audit.csv,financial
financial-domain-integrity-audit.csv,financial
product-policy-adjudication.csv,product-policy
n01-baseline-status.md,n01
n01-confirm-upload-storage-existence.md,n01
n01-upload-session-integrity-audit.csv,n01
n01-cleanup-policy.md,n01
n01-cleanup-implementation-report.md,n01
n01-cleanup-safety-audit.csv,n01
n01-quota-tenant-trust-audit.csv,n01
n01-alternate-route-caller-audit.csv,n01
n01-storage-privacy-report.md,n01
n01-final-status.md,n01
soft-reference-domain-integrity-audit.csv,integrity
alternate-route-bypass-audit.csv,privacy
connected-read-error-privacy-audit.csv,privacy
internal-caller-preservation.csv,privacy
live-evidence-report.md,evidence
per-module-route-protection-before-after.csv,evidence
held-registry-before-after.csv,evidence
canonical-row-diff.csv,evidence
mutation-enforcement-matrix-diff.csv,evidence
canonical-coverage-arithmetic.csv,arithmetic
held-candidate-arithmetic.md,arithmetic
current-canonical-coverage.md,arithmetic
per-module-status-report.md,status
m01-non-regression-report.md,regression
geo-non-regression-report.md,regression
slice-2f35-non-regression-report.md,regression
slice-2f36-non-regression-report.md,regression
closed-module-canary-report.md,regression
slice-2f37-verifier-spec.md,verification
slice-2f37-verification-report.md,verification
verifier-negative-fixture-report.md,verification
targeted-test-report.md,test
behavioral-invariant-report.md,test
baseline-freeze-evidence.md,regression
deterministic-test-report.md,regression
regression-comparison.csv,regression
environment-test-evidence.md,regression
regression-report.md,regression
product-decisions-required.md,disclosure
known-limitations.md,disclosure
deferred-items.md,disclosure
documentation-corrections.md,disclosure
test-quality-report.md,test
test-report.md,test
approval-gate.md,status
artifact-manifest.csv,manifest
