route,module,intended_persona,canonical_admitted_roles,required_permission,staffpermission_eligible,explicit_deny_behavior,mutation_access_scope,principal_tenant_derivation,target_tenant_derivation,object_ownership_requirement,client_field_authority,service_layer_enforcement,external_side_effect_authority,state_transition_requirement,audit_requirement,privacy_error_behavior
DELETE /v1/webhooks/endpoints/{endpoint_id},webhook_endpoint_management,tenant/provider staff managing integrations,unchanged (require_tenant_mutation_permission preserves the prior require_permission role set),P.TENANT_UPDATE (unchanged),YES via require_tenant_mutation_permission's underlying permission_checker.has(),PRESERVED (same permission_checker.has() call as every other *_mutation guard),ENFORCED (added this slice),server-derived from UserContext.tenant_id,client tenant_id VERIFIED against principal (added this slice),REQUIRED and enforced (added this slice),tenant_id Query param can no longer widen authority,YES -- _require_trusted_tenant + tenant-scoped query,n/a (soft delete only, no external call on delete itself),ACTIVE/PAUSED -> DELETED (one-way soft state),NOT emitted (pre-existing gap, unchanged),foreign-tenant and missing-endpoint both raise NotFoundException
POST /v1/rag/query,rag_query,mixed -- any tenant member querying their own KB; possibly customer-facing in some verticals,unchanged (require_mutation_access_scope preserves every role get_current_user admits),none (mixed persona -- scope-only guard used instead of a role-restricted permission),N/A -- no permission-based guard (unchanged; only the access-scope layer is new),N/A,ENFORCED (added this slice),server-derived from UserContext.tenant_id,client kb_id VERIFIED against principal's tenant via KnowledgeBase.tenant_id (added this slice),REQUIRED and enforced (added this slice),kb_id is an object reference only -- no tenant field to widen,YES -- _get_kb_trusted before any pipeline step runs,YES -- calls embedding/generation backend (pre-existing, unaudited beyond tenant scoping this slice),n/a (read/generate action, not a state machine),RAGQuery trace row stored (pre-existing behavior),foreign-tenant and missing-KB both raise NotFoundException
POST /v1/security/api-keys/{key_id}/rotate,security,tenant/provider staff managing their own API keys,unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,client tenant_id VERIFIED against principal (added this slice),REQUIRED and enforced (added this slice),tenant_id Query param can no longer widen authority,YES -- _require_trusted_tenant before the query,none (internal DB-only atomic rotation),ACTIVE -> ROTATED (old key) + new ACTIVE key created,existing audit trail preserved,foreign-tenant and missing-key both raise NotFoundException
POST /v1/security/api-keys/{key_id}/revoke,security,tenant/provider staff managing their own API keys,unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,client tenant_id VERIFIED against principal (added this slice),REQUIRED and enforced (added this slice),tenant_id Query param can no longer widen authority,YES -- _require_trusted_tenant before the query,Redis cache invalidation (best-effort),ACTIVE -> REVOKED (one-way),existing audit trail preserved (_write_audit),foreign-tenant and missing-key both raise NotFoundException
POST /v1/documents,documents,tenant/provider staff generating legal/business documents,unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,client body tenant_id VERIFIED against principal (added this slice),n/a (create -- no existing object),tenant_id body field can no longer widen authority,YES -- _require_trusted_tenant before the row is created,none,n/a (create only),not independently re-audited beyond the tenant fix this slice,PERMISSION_DENIED before any row is created for a foreign tenant_id
POST /v1/documents/{document_id}/send,documents,tenant/provider staff sending documents for signature,unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,Document.tenant_id VERIFIED via query predicate (added this slice),REQUIRED and enforced (added this slice),none (object-ID-only route -- no client tenant field existed),YES -- tenant predicate added to the query,generates a signing token/URL (internal only),DRAFT/GENERATED -> SENT (frozen-check preserved),not independently re-audited beyond the tenant fix,foreign-tenant and missing-document both raise NotFoundException
POST /v1/documents/{document_id}/void,documents,tenant/provider staff voiding documents (legal correction),unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,Document.tenant_id VERIFIED via query predicate (added this slice),REQUIRED and enforced (added this slice),none (object-ID-only route),YES -- tenant predicate added to the query,none,any non-VOIDED -> VOIDED (is_frozen preserved if was signed),_write_event(VOIDED) preserved,foreign-tenant and missing-document both raise NotFoundException
DELETE /v1/rag/knowledge-bases/{kb_id},rag,tenant/provider staff managing their KB,unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,KnowledgeBase.tenant_id VERIFIED via _get_kb_trusted (added this slice),REQUIRED and enforced (added this slice),none (object-ID-only route),YES -- _get_kb_trusted before the update,Redis cache-delete (best-effort) + event publish (unchanged),is_active True->False (soft delete) + chunk deactivation,rag.kb_deleted event published (unchanged),foreign-tenant and missing-KB both raise NotFoundException
POST /v1/rag/knowledge-bases/{kb_id}/documents,rag,tenant/provider staff ingesting documents into their KB,unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,KnowledgeBase.tenant_id VERIFIED via _get_kb_trusted (added this slice),REQUIRED and enforced (added this slice),none (object-ID-only route),YES -- _get_kb_trusted before ingestion begins,not independently re-audited this slice (async chunking/embedding),n/a (create, idempotent on content hash),not independently re-audited this slice,foreign-tenant and missing-KB both raise NotFoundException
DELETE /v1/rag/documents/{doc_id},rag,tenant/provider staff managing their documents,unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,KBDocument.tenant_id VERIFIED via query predicate (added this slice),REQUIRED and enforced (added this slice),none (object-ID-only route),YES -- tenant predicate added to the query,not independently re-audited this slice,active chunks -> inactive (soft delete),not independently re-audited this slice,foreign-tenant and missing-document both raise NotFoundException
POST /v1/rag/documents/{doc_id}/reindex,rag,tenant/provider staff refreshing their documents,unchanged,P.TENANT_UPDATE (unchanged),YES,PRESERVED,ENFORCED (added this slice),server-derived,KBDocument.tenant_id VERIFIED via query predicate (added this slice),REQUIRED and enforced (added this slice),none (object-ID-only route),YES -- tenant predicate added to the query,not independently re-audited this slice (re-embed pipeline),status -> REINDEXING (conflict-guarded against double-reindex),not independently re-audited this slice,foreign-tenant and missing-document both raise NotFoundException
