route,target_existence,ownership,soft_or_hard,child_records,soft_references,external_references,state_restrictions,repeated_operation,idempotency,transaction_rollback,audit_behavior,disposition
DELETE /v1/webhooks/endpoints/{endpoint_id},verified before mutation,verified (tenant match),SOFT (status=DELETED),WebhookDelivery rows reference endpoint_id (no FK, loose reference) -- deliveries remain queryable after endpoint deletion,none found beyond WebhookDelivery,none (webhook target URL is external but not touched by delete),none -- any status can transition to DELETED,idempotent (repeated delete just re-sets the same status),N/A (single UPDATE),standard DB transaction,none dedicated,no destructive gap -- soft delete only; WebhookDelivery orphaning is pre-existing behavior unchanged by this slice
POST /v1/rag/query,n/a (not destructive -- read/generate action),verified (tenant match on KB),N/A,N/A,N/A,calls an external embedding/generation backend (not independently re-audited this slice for retry/idempotency),N/A,each query is independent (idempotency_key supported, scoped by tenant this slice),YES -- idempotency_key lookup now tenant-scoped,standard DB transaction for the RAGQuery trace row,RAGQuery trace stored (pre-existing),no destructive gap; external-call integrity not independently re-audited (see external-side-effect-audit.csv)
POST /v1/security/api-keys/{key_id}/rotate,verified,verified (tenant match),SOFT for old key (status=ROTATED) + new key created,none found,none found,none,only ACTIVE keys can be rotated (CONFLICT otherwise -- pre-existing check preserved),re-rotating an already-ROTATED key is blocked by the status check,atomic (single transaction creates new + marks old),YES -- single DB transaction (pre-existing PROVEN behavior),existing audit trail preserved,no destructive gap -- old key preserved as ROTATED, not deleted
POST /v1/security/api-keys/{key_id}/revoke,verified,verified (tenant match),SOFT (status=REVOKED),none found,none found,Redis cache invalidated (best-effort, non-transactional -- pre-existing),already-REVOKED keys rejected (CONFLICT -- pre-existing check preserved),blocked by status check,N/A,standard DB transaction; Redis invalidation is best-effort outside the DB transaction (pre-existing, unaudited integrity gap not introduced by this slice),existing audit trail preserved,no NEW destructive gap; the pre-existing Redis/DB non-atomicity is unchanged and not remediated this slice (see known-limitations.md)
POST /v1/documents,n/a (create only),n/a,N/A,N/A,N/A,none,template must exist for the doc_type (pre-existing check preserved),N/A (each call creates a new document),NOT idempotent (no idempotency key on this route -- pre-existing, unaudited),standard DB transaction,not independently re-audited this slice,no destructive gap; idempotency absence is pre-existing and unrelated to this slice's tenant fix
POST /v1/documents/{document_id}/send,verified,verified (tenant match),SOFT (status transition, is_frozen check preserved),none found,none found,generates a signing token (internal),is_frozen and TERMINAL_DOC_STATUSES checks preserved unchanged,blocked by status checks (CONFLICT if already sent/terminal),N/A,standard DB transaction,not independently re-audited beyond the tenant fix,no destructive gap
POST /v1/documents/{document_id}/void,verified,verified (tenant match),SOFT (status=VOIDED; content preserved as legal evidence),none found,none found,none,already-VOIDED rejected (CONFLICT -- pre-existing check preserved); signed docs CAN be voided by design (is_frozen stays True),blocked by status check,N/A,standard DB transaction + event write,_write_event(VOIDED) preserved,no destructive gap -- void explicitly preserves content per the engine's design (is_frozen stays True for signed docs)
DELETE /v1/rag/knowledge-bases/{kb_id},verified,verified (tenant match),SOFT (is_active=False + chunk deactivation),DocumentChunk rows deactivated in the same call (cascading soft-delete, in-scope and handled),none found beyond chunks,Redis cache-delete (best-effort) + event publish,none -- any active KB can be deleted,idempotent-ish (repeated delete just re-sets is_active=False and re-deactivates already-inactive chunks -- no error, no double-effect),N/A,standard DB transaction (KB update + chunk update in the same call, not verified as one atomic transaction vs two sequential statements -- see known-limitations.md),rag.kb_deleted event published,no NEW destructive gap; whether the KB update and chunk update are one atomic transaction was not independently re-verified this slice
POST /v1/rag/knowledge-bases/{kb_id}/documents,n/a (create, idempotent on content_hash),verified (tenant match on parent KB),N/A,N/A,N/A,not independently re-audited (async chunking/embedding pipeline),KB must exist and be tenant-owned (enforced this slice),re-ingesting identical content is idempotent (content_hash uniqueness -- pre-existing),YES (content_hash based),not independently re-audited this slice,not independently re-audited this slice,no destructive gap identified; async pipeline integrity not re-audited (out of this slice's authorization scope)
DELETE /v1/rag/documents/{doc_id},verified,verified (tenant match),SOFT (chunks deactivated),chunks deactivated in the same call,none found,not independently re-audited,none -- any document can be deleted regardless of status,idempotent (repeated delete re-deactivates already-inactive chunks, no error),N/A,not independently re-audited this slice,not independently re-audited this slice,no NEW destructive gap
POST /v1/rag/documents/{doc_id}/reindex,verified,verified (tenant match),SOFT (old chunks deactivated, new chunks created),old chunks deactivated,none found,not independently re-audited (re-embed pipeline),REINDEXING status blocks concurrent reindex (CONFLICT -- pre-existing check preserved),blocked while already REINDEXING,N/A,not independently re-audited this slice,not independently re-audited this slice,no NEW destructive gap
