route,tenant_source_before,tenant_source_after,widening_possible_before,widening_possible_after
DELETE /v1/webhooks/endpoints/{endpoint_id},tenant_id Query param trusted directly,WebhookService.actor_tenant_id derived server-side; compared via _require_trusted_tenant,YES -- any TENANT_UPDATE holder could delete any tenant's webhook endpoint,NO
POST /v1/rag/query,none (kb_id trusted directly with zero tenant check),RAGService.actor_tenant_id derived server-side; KnowledgeBase.tenant_id compared via _get_kb_trusted,YES -- any authenticated user of any tenant could query another tenant's KB,NO
POST /v1/security/api-keys/{key_id}/rotate,tenant_id Query param trusted directly,SecurityService.actor_tenant_id derived server-side; compared via _require_trusted_tenant,YES -- any TENANT_UPDATE holder could rotate another tenant's API key,NO
POST /v1/security/api-keys/{key_id}/revoke,tenant_id Query param trusted directly,SecurityService.actor_tenant_id derived server-side; compared via _require_trusted_tenant,YES -- any TENANT_UPDATE holder could revoke another tenant's API key,NO
POST /v1/documents,tenant_id body field trusted directly,DocumentService.actor_tenant_id derived server-side; compared via _require_trusted_tenant,YES -- any TENANT_UPDATE holder could generate a document under an arbitrary tenant_id,NO
POST /v1/documents/{document_id}/send,none (document_id trusted directly, zero tenant check),DocumentService.actor_tenant_id derived server-side; Document.tenant_id compared via query predicate,YES -- any TENANT_UPDATE holder could send another tenant's document for signature,NO
POST /v1/documents/{document_id}/void,none (document_id trusted directly, zero tenant check),DocumentService.actor_tenant_id derived server-side; Document.tenant_id compared via query predicate,YES -- any TENANT_UPDATE holder could void another tenant's legal document,NO
DELETE /v1/rag/knowledge-bases/{kb_id},none (kb_id trusted directly, zero tenant check),RAGService.actor_tenant_id derived server-side; KnowledgeBase.tenant_id compared via _get_kb_trusted,YES -- any TENANT_UPDATE holder could delete another tenant's KB,NO
POST /v1/rag/knowledge-bases/{kb_id}/documents,none (kb_id trusted directly, zero tenant check),RAGService.actor_tenant_id derived server-side; KnowledgeBase.tenant_id compared via _get_kb_trusted,YES -- any TENANT_UPDATE holder could ingest a document into another tenant's KB,NO
DELETE /v1/rag/documents/{doc_id},none (doc_id trusted directly, zero tenant check),RAGService.actor_tenant_id derived server-side; KBDocument.tenant_id compared via query predicate,YES -- any TENANT_UPDATE holder could delete another tenant's document,NO
POST /v1/rag/documents/{doc_id}/reindex,none (doc_id trusted directly, zero tenant check),RAGService.actor_tenant_id derived server-side; KBDocument.tenant_id compared via query predicate,YES -- any TENANT_UPDATE holder could reindex another tenant's document,NO
