method,path,module,previous_status,final_status,slice_provenance
DELETE,/v1/webhooks/endpoints/{endpoint_id},webhook_endpoint_management,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35
POST,/v1/rag/query,rag_query,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,TENANT_MUTATION_ROLE_SCOPE_AWARE,Slice 2F-35
POST,/v1/security/api-keys/{key_id}/rotate,security,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
POST,/v1/security/api-keys/{key_id}/revoke,security,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
POST,/v1/documents,documents,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
POST,/v1/documents/{document_id}/send,documents,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
POST,/v1/documents/{document_id}/void,documents,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
DELETE,/v1/rag/knowledge-bases/{kb_id},rag,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
POST,/v1/rag/knowledge-bases/{kb_id}/documents,rag,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
DELETE,/v1/rag/documents/{doc_id},rag,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
POST,/v1/rag/documents/{doc_id}/reindex,rag,absent from canonical (held candidate),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,Slice 2F-35 (Set B TENANT_PROVIDER_MUTATION_ADD)
