method,path,endpoint_name,module_source_file,current_dependency,capability,model_table,parent_workflow,current_persona,tenant_authority,object_ownership,assignment_requirement,financial_or_irreversible,verification_level,risk_severity
POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,require_technician+get_current_user,brand_request_create,BrandRequest,admin_catalog brand approval,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only (no access-scope check),tenant_id stamped at create (no pre-existing object to check),no,no,VERIFIED,LOW
POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,require_technician+get_current_user,brand_support_mapping_set,ServiceBrandSupport (service_id parent),admin_catalog brand-to-service mapping,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only,service_id parent-tenant ownership not verified at router layer (needs investigation),no,no,VERIFIED,LOW
PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,require_technician+get_current_user,business_profile_update,TenantBusinessProfile,tenant self-profile,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only,self-tenant by construction (profile keyed to caller's own tenant_id),no,no,VERIFIED,LOW-MEDIUM
POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,require_technician+get_current_user,business_profile_review_submit,TenantBusinessProfile,tenant self-profile review workflow,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only,self-tenant by construction,no,possibly (review state transition),VERIFIED,LOW-MEDIUM
POST,/v1/provider/compliance/consents/{consent_type}/withdraw,withdraw_consent,app.engines.compliance.provider_router,require_tenant_owner+get_current_user,dpdp_consent_withdraw,ConsentRecord,DPDP consent lifecycle,PERMISSION_ONLY_NOT_SCOPE_AWARE,NONE -- underlying service call hardcodes tenant_id=None,self-identity only (own user_id, no request_id to spoof),no,no (regulatory consent record),VERIFIED,HIGH
POST,/v1/provider/compliance/customer-requests/{request_id}/tenant-response,customer_tenant_response,app.engines.compliance.provider_router,require_tenant_owner+get_current_user,dpdp_customer_request_response,ComplianceRequest (subject_type=customer),DPDP data-subject request,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only + inline metadata_json[related_tenant_id] check present,inline check present (JSONB string match, not schema-enforced),no,no,VERIFIED,HIGH
POST,/v1/provider/compliance/requests,create_my_request,app.engines.compliance.provider_router,require_tenant_owner+get_current_user,dpdp_request_create,ComplianceRequest,DPDP data-subject request,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only,tenant_id stamped post-creation via metadata_json (two-step write),no,no,VERIFIED,HIGH
POST,/v1/provider/compliance/requests/{request_id}/cancel,cancel_my_request,app.engines.compliance.provider_router,require_tenant_owner+get_current_user,dpdp_request_cancel,ComplianceRequest,DPDP data-subject request,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only + inline metadata_json[tenant_id] check present,inline check present (JSONB string match),no,no (cancellation only),VERIFIED,HIGH
POST,/v1/provider/compliance/requests/{request_id}/generate-export,generate_export,app.engines.compliance.provider_router,require_tenant_owner+get_current_user,dpdp_export_generate,ComplianceExport (child of ComplianceRequest),DPDP data export,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only + inline metadata_json[tenant_id] check present,inline check present (JSONB string match),no,YES (queues PII export -- regulatory sensitivity),VERIFIED,HIGH
POST,/v1/provider/compliance/staff-requests/{request_id}/tenant-response,staff_tenant_response,app.engines.compliance.provider_router,require_tenant_owner+get_current_user,dpdp_staff_request_response,ComplianceRequest (subject_type in TENANT_STAFF_SUBJECT_TYPES),DPDP data-subject request,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only + inline metadata_json[tenant_id] check present,inline check present (JSONB string match),no,no,VERIFIED,HIGH
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,get_current_user only,marketing_asset_notes_update,MarketingAsset,marketing automation,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none,unverified -- needs investigation,no,no,VERIFIED,MEDIUM
POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,get_current_user only,marketing_campaign_generate,MarketingCampaign,marketing automation,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none,unverified -- needs investigation,no,possibly (campaign creation + review state),VERIFIED,MEDIUM
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,get_current_user only,marketing_campaign_review_submit,MarketingCampaign,marketing automation,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none,unverified -- needs investigation,no,possibly (review state transition),VERIFIED,MEDIUM
POST,/v1/provider/profile/logo,upload_provider_logo,app.engines.media.new_router,require_technician+get_current_user,media_upload,MediaAsset (media_context=provider_logo),tenant profile media,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only,self-owned by construction (own tenant logo),no,no,VERIFIED,LOW
DELETE,/v1/provider/profile/logo,remove_provider_logo,app.engines.media.new_router,require_technician+get_current_user,media_delete,MediaAsset,tenant profile media,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only,self-owned by construction,no,no,VERIFIED,LOW
POST,/v1/provider/profile/shop-photo,upload_provider_shop_photo,app.engines.media.new_router,require_technician+get_current_user,media_upload,MediaAsset (media_context=shop_photo),tenant profile media,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only,self-owned by construction,no,no,VERIFIED,LOW
DELETE,/v1/provider/profile/shop-photo,remove_provider_shop_photo,app.engines.media.new_router,require_technician+get_current_user,media_delete,MediaAsset,tenant profile media,PERMISSION_ONLY_NOT_SCOPE_AWARE,role-only,self-owned by construction,no,no,VERIFIED,LOW
POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,get_current_user only,analytics_report_run,AnalyticsReport (or similar),tenant analytics,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none,unverified -- needs investigation,no,no (read-heavy, but a mutation route -- creates a report run record),VERIFIED,LOW
