rank,router_module,route_count,canonical_row_references,severity,primary_gap,main_risk,product_policy_dependency,prerequisite,recommended_slice,implementation_readiness
0 (SELECTED),app.engines.compliance.provider_router,6,see selected-next-module-route-list.csv,CRITICAL,PERMISSION_ONLY_NOT_SCOPE_AWARE + missing schema-level tenant_id + confirmed tenant_id=None defect in withdraw_consent,DPDP regulatory data-subject workflow with a structural object-ownership gap,possible -- whether staff should be admitted alongside tenant_owner; export rate-limiting,none,2F-20,mostly (dependency swap + service-layer fix + ownership-check consistency pass)
1,app.engines.package_commerce.tenant_router,1,see remaining-route-inventory.csv,HIGH,PERMISSION_ONLY_NOT_SCOPE_AWARE,financial/entitlement transaction; purchase idempotency/duplicate-purchase semantics unresolved,possible -- purchase/entitlement semantics decision,none,bundle with a future finance-adjacent slice,mostly
2,app.engines.customer_reviews.provider_router,2,see remaining-route-inventory.csv,MEDIUM,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,public-facing content / provider impersonation risk on submit_reply,none apparent,none,own small slice or bundle with a future public-content slice,yes
3,app.engines.marketing_automation.provider_router,3,see remaining-route-inventory.csv,MEDIUM,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,zero-auth but limited caller evidence; campaign review state,none apparent,none,small future slice,yes
4,app.engines.media.new_router (profile-photo/logo routes only),6,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,scope-without-ownership on self-owned profile media,none apparent,none,small future slice,yes
5,app.engines.profile.router,3,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,scope-without-ownership on self-profile; business-profile review state,none apparent,none,bundle with media.new_router (rank 4),yes
6,app.engines.admin_catalog.brand_provider_router,2,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,service_id parent-tenant ownership unverified for set_supported_brands,none apparent,none,bundle with recommendation_router/service_option_provider_router (ranks 7-8),yes
7,app.engines.admin_catalog.recommendation_router,1,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,scope-without-ownership on self-tenant recommendations,none apparent,none,bundle with brand_provider_router (rank 6),yes
8,app.engines.admin_catalog.service_option_provider_router,1,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,service_id parent-tenant ownership unverified,none apparent,none,bundle with brand_provider_router (rank 6),yes
9,app.engines.analytics.provider_router,1,see remaining-route-inventory.csv,LOW,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,zero-auth on low-traffic report-run route,none apparent,none,bundle with any small future slice,yes

Route-count sum check: 6 (rank 0, selected) + 1+2+3+6+3+2+1+1+1 (ranks 1-9) = 6 + 20 = 26 -- matches the reconciled unprotected count exactly.
