file,category
implementation-summary.md,summary
branch-worktree-baseline.md,worktree
worktree-interference-guard.md,worktree
baseline-freeze.md,baseline
route-census-reproduction.md,census
mutation-classification-contract.md,census
seed-path-census.csv,seed
canonical-role-validation-contract.md,role
canonical-seed-fix-report.md,seed
seed-role-negative-tests.md,seed
seed-idempotency-report.md,seed
demo-account-decision-packet.md,demo-account
readonly-account-decision.md,demo-account
manager-account-decision.md,demo-account
human-role-decision-evidence.md,demo-account
role-remediation-execution.md,role
migration-144-static-reaudit.md,migration
postgres-environment-evidence.md,migration
migration-144-readiness.md,migration
migration-144-apply-report.md,migration
migration-144-rollback-report.md,migration
migration-144-reapply-report.md,migration
migration-144-data-reconciliation.csv,migration
complete-backend-regression-report.md,regression
test-order-root-cause.md,regression
remaining-failure-disposition.csv,regression
phase2f-regression-report.md,regression
repeated-test-stability-report.md,regression
test-node-diff.csv,regression
certification-readiness-matrix.csv,readiness
slice-2f39-verifier-spec.md,verification
verifier-negative-fixture-report.md,verification
backend-file-change-report.md,non-change
frontend-non-change-report.md,non-change
historical-artifact-integrity-report.md,non-change
known-limitations.md,disclosure
deferred-items.md,disclosure
product-decisions-required.md,disclosure
environment-blockers.md,disclosure
final-status-rationale.md,status
approval-gate.md,status
artifact-manifest.csv,manifest
