method,path,endpoint,module,final_classification,evidence
POST,/admin/quote-templates,admin_create_template,quote_checklist.admin_router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/admin/quote-templates/items,admin_add_template_item,quote_checklist.admin_router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/customer/quotes/{quote_id}/approve,customer_approve_quote,quote_checklist.customer_router,CUSTOMER_SELF_SERVICE_MUTATION,require_customer
POST,/customer/quotes/{quote_id}/reject,customer_reject_quote,quote_checklist.customer_router,CUSTOMER_SELF_SERVICE_MUTATION,require_customer
POST,/customer/quotes/{quote_id}/request-revision,customer_request_revision,quote_checklist.customer_router,CUSTOMER_SELF_SERVICE_MUTATION,require_customer
POST,/provider/quotes/{quote_id}/cancel,provider_cancel_quote,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_owner_or_office_staff_mutation; server-derived user.tenant_id passed to service (verified via grep of 19 occurrences across file)"
POST,/staff/checklists,staff_create_checklist,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
POST,/staff/checklists/{checklist_id}/complete,staff_complete_checklist,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
PATCH,/staff/checklists/{checklist_id}/items/{item_id},staff_update_checklist_item,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
POST,/staff/quotes,staff_create_quote,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
POST,/staff/quotes/{quote_id}/cancel,staff_cancel_quote,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,"same pattern -- individually verified: str(user.tenant_id) passed to service"
POST,/staff/quotes/{quote_id}/items,staff_add_item,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
PATCH,/staff/quotes/{quote_id}/items/{item_id},staff_update_item,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
DELETE,/staff/quotes/{quote_id}/items/{item_id},staff_remove_item,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
POST,/staff/quotes/{quote_id}/mark-revised,staff_mark_revised,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
POST,/staff/quotes/{quote_id}/send-to-customer,staff_send_to_customer,quote_checklist.provider_router,CANONICAL_TENANT_PROVIDER_MUTATION,same pattern
POST,/v1/bookings,create_booking,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.BOOKING_CREATE)
POST,/v1/bookings/preflight,booking_preflight,booking.router,AUTHENTICATED_READ_ONLY,"require_permission(P.BOOKING_CREATE) bare but service traced -- pure compute/match/estimate, no db write"
