role,route_group,access_level,gate_mechanism,verification
super_admin,all /admin/* nav items,full (subject to per-item requiredPermission),usePermissions() + role==='super_admin' for SUPER_ADMIN_ONLY items,SOURCE_VERIFIED
admin_operations,/admin/* items with a real (non-SUPER_ADMIN_ONLY) requiredPermission the role holds,partial - nav-filtered correctly; backend enforcement gap remains for routes still on require_super_admin,usePermissions() (frontend correct) + backend require_super_admin (gap - Phase1A item 7),SOURCE_VERIFIED (frontend) / SOURCE_VERIFIED (backend gap, pre-existing, not fixed this slice)
admin_finance,/admin/finance/* + supporting read views the role holds permission for,partial - same as above,usePermissions(),SOURCE_VERIFIED
admin_security,/admin/security, /admin/users/*, /admin/audit-logs,partial - same as above,usePermissions(),SOURCE_VERIFIED
admin_readonly,read-only subset; mutation actions must be hidden by each page's own perm.has() check (not a nav-level concern),partial - nav shows read items; page-level mutation buttons depend on each page's own perm.has() gating (not re-audited exhaustively this slice),usePermissions() + per-page perm.has() checks,SOURCE_INFERRED - spot-checked commission-records/payments pages only (both use perm.has("finance:hub:export") to gate an export action)
tenant_owner,tenant-portal (tenant) route group,full within own tenant,TenantScopeService (backend) + tenant-portal auth context (frontend),SOURCE_VERIFIED (backend scope service, from Phase 1A); frontend gate not re-read this slice
staff,tenant-portal (tenant) route group (permission-filtered subset) + /staff/* shell,partial - shares tenant-portal shell per Phase1A decision,useStaffContext isTechnician gate (also permits staff),SOURCE_VERIFIED
technician,/staff/* shell only,scoped to own assigned jobs (StaffScopeService backend) + /staff/* frontend shell,useStaffContext + StaffScopeService,SOURCE_VERIFIED
customer,mobile customer-app + tenant-portal customer-facing routes (n/a to this slice),n/a - not touched this slice,CustomerScopeService,not re-verified this slice
guest,public routes only,n/a - not touched this slice,n/a,not re-verified this slice
