module,mounted_mutations,access_scope_protected,permission_protected,role_only,authenticated_only,unverified,destructive_endpoints,bulk_endpoints,sensitivity,cross_tenant_risk,alternate_routes,frontend_callers,test_depth,risk_score,recommended_order
app.engines.tenant_engine.portal_router,10,0,0,10,0,10,4 (suspend/deactivate/lock/revoke-sessions),0,"user/staff/session administration + wallet visibility",HIGH (pre-fix: role-only, no access-scope; lock/unlock/revoke-sessions call a broken AuthService constructor -- 100% crash),1 (tenant_engine.admin_router, require_super_admin-gated, stronger -- not a bypass),confirmed via frontend/tenant-portal/lib/api.ts,none dedicated pre-slice,9.5/10,SELECTED THIS SLICE
app.engines.serviceability.router,19,0,19,0,0,19,0,possibly (bulk coverage refresh -- not confirmed),tenant-wide service-area/coverage configuration,MEDIUM (permission-gated already, but no access-scope layer),not audited this slice,not audited this slice,not audited this slice,not audited this slice,6.5/10,candidate for a future slice
app.engines.package_commerce.admin_router,20,2,15,0,3,18,not audited,not audited,"package/security-deposit administration (name suggests platform-admin but 15 of 20 are PERMISSION_ONLY_NOT_SCOPE_AWARE, not PLATFORM_ADMIN_ONLY -- needs re-verification of true persona, could be tenant-facing despite the name)",UNVERIFIED -- flagged as a real risk requiring investigation,not audited this slice,not audited this slice,not audited this slice,not audited this slice,7/10 (unverified persona is itself a risk factor),candidate for a future slice, higher priority than serviceability given finance/security-deposit domain
app.engines.finance_hub.admin_router,17,0,17,0,0,17,not audited,not audited,"finance administration (name suggests platform-admin; needs re-verification per the same 'do not assume admin_router = platform-only' warning)",UNVERIFIED,not audited this slice,not audited this slice,not audited this slice,not audited this slice,7/10,candidate for a future slice
app.engines.complaints.provider_router,9,0,0,0,9,9,0,0,complaints/rework/refund (provider-facing, financial-adjacent via refund),MEDIUM (authenticated-only, no permission or access-scope check at all),not audited this slice,not audited this slice,not audited this slice,not audited this slice,6/10,candidate for a future slice
app.engines.media.new_router,13,0,8,0,5,13,0 (delete not confirmed),0,media/photo upload,LOW-MEDIUM,not audited this slice,not audited this slice,not audited this slice,not audited this slice,4/10,lower priority
app.engines.field_ops.staff_router,6,0,0,0,6,6,not audited,0,"legacy field_ops staff job actions -- per project memory (Slices L5-35/36), this table has 0 real rows in production, already effectively dead",LOW (dead data, not live traffic),confirmed dead/superseded by service_jobs pipeline per prior slices,not audited this slice,not audited this slice,not audited this slice,2/10 (known-dead legacy),lowest priority
app.engines.field_ops.checklist_router,6,0,6,0,0,6,0,0,tenant checklist templates,LOW,not audited this slice,not audited this slice,not audited this slice,not audited this slice,3/10,lower priority
app.engines.execution.real_estate_router,11,0,0,0,11,11,not audited,0,real estate lead execution (non-home-services vertical),MEDIUM (authenticated-only),not audited this slice,not audited this slice,not audited this slice,not audited this slice,5/10,candidate for a future slice (parallel to home-services execution work)
app.engines.execution.coaching_router,8,0,0,0,8,8,not audited,0,coaching appointment execution (non-home-services vertical),MEDIUM (authenticated-only),not audited this slice,not audited this slice,not audited this slice,not audited this slice,5/10,candidate for a future slice
app.engines.platform_notifications.provider_router,10,0,0,0,10,10,0,0,provider chat/notifications,LOW-MEDIUM,not audited this slice,not audited this slice,not audited this slice,not audited this slice,4/10,lower priority
app.engines.invoice_payment.provider_router,4,0,0,0,4,4,not audited,0,provider invoices/wallet/subscription (finance-adjacent),MEDIUM,not audited this slice,not audited this slice,not audited this slice,not audited this slice,5.5/10,candidate for a future slice
app.engines.customer_credits.admin_router,8,0,8,0,0,8,not audited,not audited,"customer credit administration (name suggests platform-admin; needs re-verification)",UNVERIFIED,not audited this slice,not audited this slice,not audited this slice,not audited this slice,6.5/10,candidate for a future slice
