method,path,endpoint_name,capability,record_type,guard_before,guard_after,tenant_scoping,object_ownership,final_classification,verification_level
PATCH,/v1/tenant/profile,update_profile,Update tenant business profile (restricted safe fields only),Tenant,require_tenant_owner,require_tenant_owner_mutation,_tenant_id(user) from JWT,n/a (own tenant row),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
PATCH,/v1/tenant/settings,update_settings,Update tenant settings (commission_rate stripped -- platform-set),Tenant settings,require_tenant_owner,require_tenant_owner_mutation,_tenant_id(user),n/a (own tenant row),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
POST,/v1/tenant/users,create_user,Create a tenant user (role-validated against VALID_TENANT_ROLES),User,require_tenant_owner,require_tenant_owner_mutation,tenant_id passed explicitly to service; new row created with tenant_id=tenant_id,n/a (new row),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
POST,/v1/tenant/users/{user_id}/suspend,suspend_user,Suspend a tenant user,User,require_tenant_owner,require_tenant_owner_mutation,tenant_id passed explicitly,AdminTenantService._load_tenant_user filters User.tenant_id==tenant_id (pre-existing),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
POST,/v1/tenant/staff,create_staff,Create a staff/technician user,User (role=staff),require_tenant_owner,require_tenant_owner_mutation,tenant_id passed explicitly; new row created with tenant_id=tenant_id,n/a (new row),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
POST,/v1/tenant/staff/{staff_id}/deactivate,deactivate_staff,Deactivate a staff/technician user,User (role=staff/technician),require_tenant_owner,require_tenant_owner_mutation,tenant_id passed explicitly,AdminTenantService._load_tenant_staff filters User.tenant_id==tenant_id + role in (staff,technician) (pre-existing),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
PATCH,/v1/tenant/staff/{staff_id}/photo,update_staff_photo,Update staff profile photo,User (role=staff/technician),require_tenant_owner,require_tenant_owner_mutation,tenant_id passed explicitly,AdminTenantService._load_tenant_staff (pre-existing),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
POST,/v1/tenant/staff/{user_id}/lock,lock_staff,Lock a staff account (fixed: AuthService construction crash),User,require_tenant_owner,require_tenant_owner_mutation,AuthService._can_admin_manage_user checks target.tenant_id==admin.tenant_id (pre-existing),AuthService._can_admin_manage_user rejects super_admin targets too (pre-existing),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
POST,/v1/tenant/staff/{user_id}/unlock,unlock_staff,Unlock a staff account (fixed: AuthService construction crash),User,require_tenant_owner,require_tenant_owner_mutation,same as lock_staff,same as lock_staff,TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
POST,/v1/tenant/staff/{user_id}/sessions/revoke-all,revoke_staff_sessions,Force-revoke all sessions for a staff member (fixed: AuthService construction crash),User + UserSession,require_tenant_owner,require_tenant_owner_mutation,same as lock_staff,same as lock_staff; DB+Redis revocation confirmed via AuthService.admin_revoke_all_sessions (pre-existing),TENANT_OWNER_SELF_SERVICE,SLICE_2F4_VERIFIED
