app,route,page_name,role,nav_location,user_goal,apis_called,actions_available,problems,verification
super-admin,/admin/dashboard,Dashboard,super_admin,Overview,system health snapshot,adminDashboardApi,view,none major,SOURCE_VERIFIED
super-admin,/admin/tenants,All Providers,super_admin,Providers,manage tenants,adminTenantApi,view/edit/suspend,none major,SOURCE_VERIFIED
super-admin,/admin/tenants/onboarding,New Requests,super_admin,Providers,review new tenant signups,adminTenantApi,approve/reject/request-changes,exact gating rules unverified,SOURCE_VERIFIED
super-admin,/admin/onboarding/providers,Verify & Approve,super_admin,Providers,verification workspace,adminTenantApi,approve/reject,overlaps conceptually with /admin/tenants/onboarding - possible duplicate workspace,SOURCE_INFERRED
super-admin,/admin/packages,Packages,super_admin,Providers,manage packages,package_commerce admin api,create/edit,,SOURCE_VERIFIED
super-admin,/admin/trust-quality,Trust & Quality,super_admin,Providers,badges/health/risk,trust_quality admin api,view/configure,,SOURCE_VERIFIED
super-admin,/admin/bookings,Bookings,super_admin,Operations,legacy booking oversight,booking admin api (legacy engine),view,points at legacy Booking model,SOURCE_VERIFIED
super-admin,/admin/home-services/service-jobs,Jobs,super_admin,Operations,canonical job oversight,execution admin api,view/reassign,,SOURCE_VERIFIED
super-admin,/admin/customers,Customers,super_admin,Operations,customer directory,admin customer api,view,,SOURCE_VERIFIED
super-admin,/admin/staff,Staff,super_admin,Operations,platform staff directory,admin_staff_router,view/edit,,SOURCE_VERIFIED
super-admin,/admin/reviews,Reviews,super_admin,Operations,moderate reviews,ambiguous - legacy review OR customer_reviews admin api,view/flag/resolve,could be pointing at either of the two live review stacks - needs confirmation,SOURCE_INFERRED
super-admin,/admin/complaints,Complaints,super_admin,Operations,resolve complaints,complaints admin api,propose/resolve/reject,,SOURCE_VERIFIED
super-admin,/admin/complaint-policies,Complaint Policies,super_admin,Operations,configure SLA policies,complaints admin api,edit,,SOURCE_VERIFIED
super-admin,/admin/verticals,Verticals,super_admin,Catalog,manage verticals,vertical_catalog admin api,view/edit,,SOURCE_VERIFIED
super-admin,/admin/categories,Categories,super_admin,Catalog,manage categories,admin_catalog admin api,CRUD,,SOURCE_VERIFIED
