app,route,decision,evidence_reasoning
super-admin,/admin/dashboard,KEEP,Working home page; becomes Home + gets a My Work panel added
super-admin,/admin/tenants,KEEP,Core canonical tenant list
super-admin,/admin/tenants/onboarding,MERGE,Overlaps /admin/onboarding/providers - merge into one Business Approval workspace
super-admin,/admin/onboarding/providers,MERGE,Same as above - pick one canonical approval workspace per business-onboarding-approval-workflow.md
super-admin,/admin/packages,KEEP,Canonical, working
super-admin,/admin/trust-quality,KEEP,Canonical per L5-12 build
super-admin,/admin/bookings,RETIRE_NON_CANONICAL_UI,Backed by legacy Booking model per canonical-pipeline-report.md; superseded by /admin/home-services/service-jobs
super-admin,/admin/home-services/service-jobs,KEEP,Canonical ServiceJob-backed operations view
super-admin,/admin/customers,KEEP,
super-admin,/admin/staff,KEEP,
super-admin,/admin/reviews,BLOCKED_BY_BACKEND_GAP,Cannot finalize disposition until confirmed which review stack (legacy review vs customer_reviews) this page reads/writes
super-admin,/admin/complaints; /admin/complaint-policies,KEEP,Coherent Sprint 25 engine, no legacy markers
super-admin,/admin/verticals; /admin/categories,KEEP,
super-admin,/admin/pricing-tiers; /admin/location-mapping; /admin/pricing/*,MOVE_TO_TAB,Consolidate 4 separate pricing pages into tabs of one Pricing workspace
super-admin,/admin/home-services/*,CONVERT_TO_WORKSPACE,Collapse 9-page vertical sub-app into a single Home Services workspace with tabs, matching the multi-vertical pattern other verticals will need
super-admin,/admin/finance,KEEP,Canonical finance_hub
super-admin,/admin/finance/usage-credits; /topups; /claims; /payouts,MOVE_TO_TAB,Consolidate under Finance Hub as tabs
super-admin,/admin/finance/deposits,BLOCKED_BY_BACKEND_GAP,Underlying security-deposit endpoints are 410'd; canonical replacement location unverified - resolve before designing this page's final form
super-admin,/admin/compliance,MOVE_TO_TAB,Regroup under Governance nav, not Finance
super-admin,/admin/marketing; /admin/notifications; /admin/notifications/settings; /admin/analytics; /admin/reports; /admin/intelligence,SIMPLIFY,Reduce to Reports + Marketing top-level items; Notifications settings folds into general Settings
super-admin,/admin/engines; /admin/security; /admin/workflow-templates; /admin/audit-logs; /admin/users; /admin/users/roles; /admin/users/permissions; /admin/media; /admin/settings,MOVE_TO_TAB,Consolidate under one Governance nav item with tabs (Roles, Permissions, Audit, Security, Engines)
super-admin,/admin/ai; /admin/ai-chat,BLOCKED_BY_BACKEND_GAP,Nav drift AND unresolved canonical-chat-engine question; fix nav only after chat engine consolidation decision
super-admin,/admin/real-estate/*; /admin/coaching/*,REMOVE_FROM_PRIMARY_NAVIGATION,Only home_services vertical is currently active in prod (other plugin engines explicitly disabled in main.py); keep reachable but not in default nav until those verticals launch
super-admin,/admin/bookability,MOVE_TO_TAB,Fold into the Provider Matching workspace as an advanced diagnostics tab
super-admin,/admin/service-invoices; /provider-wallets; /commission-records; /payments; /financial-events,MOVE_TO_TAB,Fold into Finance Hub as detail tabs; currently orphaned from nav entirely
super-admin,/admin/catalog-module/[key],KEEP,Honest placeholder; keep until dedicated vertical UIs are built
tenant-portal,/dashboard,KEEP,Becomes Home + My Work
tenant-portal,/provider/status,KEEP,Setup checklist is a good pattern; feeds guided-wizard model in Phase 2
tenant-portal,/profile; /provider/service-areas; /tenant/setup/services; /provider/service-coverage; /tenant/setup/availability,CONVERT_TO_WIZARD,These 5 pages are exactly the steps of Provider Service & Pricing Setup - see reference workflow doc
tenant-portal,/provider/staff,KEEP,
tenant-portal,/jobs; /bookings; /appointments; /service-jobs,MERGE,4 overlapping operational views of work; merge into one Jobs workspace with filters, once the backend booking/job model split (canonical-pipeline-report.md) is resolved
tenant-portal,/finance/package; /finance/usage-credit-ledger; /finance/security-deposit,MOVE_TO_TAB,Consolidate into one Finance workspace
tenant-portal,/reviews,KEEP,Primary entry
tenant-portal,/provider/reviews,MERGE,Duplicate of /reviews - same feature, redundant nav entry
tenant-portal,/provider/complaints,KEEP,
tenant-portal,/marketing,KEEP,Primary entry
tenant-portal,/provider/marketing,MERGE,Duplicate of /marketing
tenant-portal,/customers,KEEP,
tenant-portal,/chat,KEEP,Primary entry (pending chat-engine consolidation decision)
tenant-portal,/provider/chat,MERGE,Duplicate of /chat
tenant-portal,/analytics; /reports; /insights,MERGE,3 pages for one user goal (view business performance); merge into one Insights page with tabs
tenant-portal,/documents; /provider/compliance; /account/privacy,MOVE_TO_TAB,Consolidate under one Compliance/Documents workspace
tenant-portal,/settings; /settings/engines,KEEP,
tenant-portal,/staff/dashboard,KEEP,Becomes Today
tenant-portal,/staff/jobs,KEEP,Primary
tenant-portal,/staff/home-services/jobs,MERGE,Confirmed duplicate of /staff/jobs - reconcile into one list
tenant-portal,/staff/chat,KEEP,
tenant-portal,/staff/profile; /staff/skills; /staff/service-areas; /staff/availability,MOVE_TO_TAB,Consolidate into one Profile workspace with tabs
tenant-portal,/staff/documents; /staff/security/sessions; /staff/activity; /staff/notifications,MOVE_TO_ADVANCED,Lower-frequency actions; move under Profile > Advanced
mobile-customer,Home/BookingAssistant.../BookingSuccess,KEEP,Canonical current flow
mobile-customer,BookingsList/BookingDetail/Tracking,KEEP,
mobile-customer,QuoteDecision,SIMPLIFY,Fix bargain-api /v1 prefix inconsistency as part of any touch to this screen
mobile-customer,LegacyApp (19 nested screens),RETIRE_NON_CANONICAL_UI,Documented as legacy in code; plan a consolidation pass once current MainNavigator screens reach full feature parity - do not build new features on the legacy stack
mobile-staff,HomeScreen; JobsListScreen/JobDetailScreen; ChatListScreen/ChatRoomScreen; NotificationsScreen,KEEP,
mobile-staff,EarningsScreen,BLOCKED_BY_BACKEND_GAP,Backing endpoint not confirmed in this pass - verify before making any workflow decisions about it
mobile-staff,ProfileScreen,SIMPLIFY,Add missing skills/service-areas/availability/documents/sessions to reach parity with web staff portal, or explicitly scope mobile as a lighter companion app
