control,pre_2f22,post_2f22,evidence
canonical persona,tenant_owner via require_tenant_owner,tenant_owner via require_tenant_owner_mutation,TestRouteAuthorizationWiring
mutation-capable scope,NOT enforced (read-only owner could purchase),ENFORCED (read-only access_scope denied),test_mutation_dependency_denies_read_only_scope
tenant authority,server-derived (already correct),unchanged -- server-derived,TestTenantAuthority
package eligibility,is_active + deleted_at IS NULL,unchanged,TestServerPriceAuthority
price authority,server-derived (already correct),unchanged,test_all_financial_fields_derive_from_package_record
currency authority,server-derived (ServicePackage.currency),unchanged,package model
client payment-state authority,TENANT COULD SELF-ATTEST (defect),REMOVED -- field rejected,TestMarkPaidRemoved
client payment reference,TENANT COULD FABRICATE (defect),REMOVED -- field rejected,test_handler_passes_no_client_payment_reference
service-layer payment gate,NONE,"payment_authority allow-list, fails closed",TestServiceLayerPaymentAuthority
duplicate purchase guard,PACKAGE_ALREADY_PENDING (pre-existing),unchanged,TestDuplicatePurchaseGuard
credit issuance at purchase,none (already correct),unchanged -- none,TestNoActivationOrCreditIssuanceOnPurchase
activation at purchase,none (already correct),unchanged -- none,test_purchase_leaves_activation_dates_null
unknown client fields,silently ignored,rejected (extra='forbid'),TestRequestFieldAuthority
