route,control,required_behavior
submit_reply,primary capability,post the single official provider reply to a review
submit_reply,canonical persona,tenant_owner (+super_admin); staff pending product decision
submit_reply,mutation scope,mutation-capable access scope required; read-only denied
submit_reply,tenant authority,JWT only (already correct)
submit_reply,actor authority,replied_by_user_id from JWT (already correct)
submit_reply,object ownership,review.tenant_id == caller tenant (ALREADY ENFORCED -- preserve)
submit_reply,state machine,one reply per review; ERR_REPLY_ALREADY_EXISTS preserved
submit_reply,client fields,reply_text only; reject unknown fields; body currently untyped dict
submit_reply,privacy-safe errors,foreign review id must not distinguish missing from forbidden
submit_reply,service enforcement,"keep the tenant check in review_service, do not rely on router alone"
submit_reply,no partial persistence,validation before db.add; commit only on success
submit_reply,required tests,"persona matrix, cross-tenant denial, duplicate reply, customer denied"
flag_review,primary capability,flag a review for moderation and set status=flagged
flag_review,canonical persona,tenant_owner (+super_admin); staff pending product decision
flag_review,mutation scope,mutation-capable access scope required
flag_review,tenant authority,JWT on provider route; the CUSTOMER alternate route currently accepts body tenant_id -- must be server-derived
flag_review,object ownership,MUST ADD -- review.tenant_id == caller tenant; currently absent (confirmed cross-tenant IDOR)
flag_review,state machine,define legal source states; a published review moving to flagged must be reversible by admin only
flag_review,client fields,reason_code validated against FLAG_REASONS (already coerced); reject unknown fields
flag_review,privacy-safe errors,foreign review id must not reveal existence
flag_review,alternate-route closure,customer_router.flag_review must derive tenant_id server-side and enforce its own ownership rule
flag_review,no partial persistence,status change and flag row must commit together or not at all
flag_review,required tests,"cross-tenant IDOR denial, customer/technician denial, client tenant_id rejection, status transition"
