canonical_row_key,method,path,endpoint_function,router_module,business_capability,model_table,primary_persona,current_effective_access,auth_dependency,primary_gap,secondary_gaps,risk_severity,tenant_source,object_ownership,client_controlled_fields,verification_level
CR-01,POST,/v1/provider/reviews/{review_id}/reply,submit_reply,app.engines.customer_reviews.provider_router,Provider reply to a customer review,ReviewReply / review_replies,tenant_owner,currently ANY authenticated,get_current_user,AUTHENTICATED_ONLY,ALTERNATE_ROUTE_BYPASS,CRITICAL,JWT (server-derived); no route accepts a client tenant_id,ENFORCED at service (review.tenant_id != caller tenant -> PERMISSION_DENIED),untyped body dict (reply_text),VERIFIED
CR-02,POST,/v1/provider/reviews/{review_id}/flag,flag_review,app.engines.customer_reviews.provider_router,Flag a review for moderation,ReviewFlag + CustomerReview.status,tenant_owner,currently ANY authenticated,get_current_user,AUTHENTICATED_ONLY,TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP,CRITICAL,JWT (server-derived); no route accepts a client tenant_id,ABSENT -- _get_review filters by id only; no tenant/ownership check,"untyped body dict (reason_code, reason_text)",VERIFIED
MA-01,POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,Create draft launch campaign row,provider_marketing_campaigns,tenant_owner,currently ANY authenticated,get_current_user,AUTHENTICATED_ONLY,none,MEDIUM,JWT (server-derived); no route accepts a client tenant_id,tenant-scoped SQL WHERE tenant_id = :tid,none / path params only,VERIFIED
MA-02,POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,Submit campaign for admin review,provider_marketing_campaigns,tenant_owner,currently ANY authenticated,get_current_user,AUTHENTICATED_ONLY,STATE_TRANSITION_UNVERIFIED,MEDIUM,JWT (server-derived); no route accepts a client tenant_id,tenant-scoped SQL WHERE tenant_id = :tid,none / path params only,VERIFIED
MA-03,PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,Edit provider notes on a marketing asset,provider_marketing_assets,tenant_owner,currently ANY authenticated,get_current_user,AUTHENTICATED_ONLY,none,LOW,JWT (server-derived); no route accepts a client tenant_id,tenant-scoped SQL WHERE tenant_id = :tid,notes,VERIFIED
AN-01,POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,"Run/queue a provider report, optional export",report run record,tenant_owner,currently ANY authenticated,get_current_user,AUTHENTICATED_ONLY,READ_PRIVACY_UNVERIFIED,HIGH,JWT (server-derived); no route accepts a client tenant_id,tenant_id passed from JWT; scope hardcoded SCOPE_PROVIDER,"report_key, filters (dict), export_format",VERIFIED
ME-01,POST,/v1/provider/profile/logo,upload_provider_logo,app.engines.media.new_router,Set tenant business logo,MediaAsset + Tenant.business_logo_media_id,tenant_owner (tenant brand asset),"matches intended persona set (gap is access-scope, not role)",require_technician,PERMISSION_WITHOUT_SCOPE,none,MEDIUM,JWT (server-derived); no route accepts a client tenant_id,ENFORCED via media access policy (assert_can_delete / service-held actor),none / path params only,VERIFIED
ME-02,DELETE,/v1/provider/profile/logo,remove_provider_logo,app.engines.media.new_router,Remove tenant business logo,MediaAsset + Tenant,tenant_owner (tenant brand asset),"matches intended persona set (gap is access-scope, not role)",require_technician,PERMISSION_WITHOUT_SCOPE,none,MEDIUM,JWT (server-derived); no route accepts a client tenant_id,ENFORCED via media access policy (assert_can_delete / service-held actor),none / path params only,VERIFIED
ME-03,POST,/v1/provider/profile/shop-photo,upload_provider_shop_photo,app.engines.media.new_router,Set tenant shop photo,MediaAsset + Tenant.shop_photo_media_id,tenant_owner (tenant brand asset),"matches intended persona set (gap is access-scope, not role)",require_technician,PERMISSION_WITHOUT_SCOPE,none,MEDIUM,JWT (server-derived); no route accepts a client tenant_id,ENFORCED via media access policy (assert_can_delete / service-held actor),none / path params only,VERIFIED
ME-04,DELETE,/v1/provider/profile/shop-photo,remove_provider_shop_photo,app.engines.media.new_router,Remove tenant shop photo,MediaAsset + Tenant,tenant_owner (tenant brand asset),"matches intended persona set (gap is access-scope, not role)",require_technician,PERMISSION_WITHOUT_SCOPE,none,MEDIUM,JWT (server-derived); no route accepts a client tenant_id,ENFORCED via media access policy (assert_can_delete / service-held actor),none / path params only,VERIFIED
