permission,endpoint,granted_to_admin_finance,granted_to_admin_operations,granted_to_admin_security,granted_to_admin_readonly,super_admin_wildcard,final_classification
FINANCE_DEPOSITS_APPROVE,approve_deposit + reject_deposit,YES,NO,NO,NO (read-only, no mutation grants),YES,ADMIN_FINANCE_MUTATION
FINANCE_DEPOSITS_UPDATE,record_offline_deposit + adjust_deposit,YES,NO,NO,NO,YES,ADMIN_FINANCE_MUTATION
FINANCE_DEPOSITS_REFUND,refund_deposit,YES,NO,NO,NO,YES,ADMIN_FINANCE_MUTATION
FINANCE_TOPUPS_UPDATE,retry_credit,YES,NO,NO,NO,YES,ADMIN_FINANCE_MUTATION
FINANCE_TOPUPS_REFUND,refund_topup,YES,NO,NO,NO,YES,ADMIN_FINANCE_MUTATION
FINANCE_PAYOUTS_APPROVE,approve_payout,NO (ungranted -- interim policy: remains super-admin-only),NO,NO,NO,YES,SUPER_ADMIN_ONLY
FINANCE_PAYOUTS_REJECT,reject_payout,NO (ungranted),NO,NO,NO,YES,SUPER_ADMIN_ONLY
FINANCE_PAYOUTS_PROCESS,mark_processing + mark_failed,NO (ungranted),NO,NO,NO,YES,SUPER_ADMIN_ONLY
FINANCE_PAYOUTS_COMPLETE,mark_completed,NO (ungranted),NO,NO,NO,YES,SUPER_ADMIN_ONLY
FINANCE_CLAIMS_ASSIGN,assign_reviewer + request_documents,NO (ungranted),NO,NO,NO,YES,SUPER_ADMIN_ONLY
FINANCE_CLAIMS_APPROVE,approve_claim,NO (ungranted),NO,NO,NO,YES,SUPER_ADMIN_ONLY
FINANCE_CLAIMS_REJECT,reject_claim,NO (ungranted),NO,NO,NO,YES,SUPER_ADMIN_ONLY
FINANCE_CLAIMS_SETTLE,settle_claim,NO (ungranted),NO,NO,NO,YES,SUPER_ADMIN_ONLY

# Notes:
# This slice GRANTED NOTHING -- the table reflects the pre-existing state of app/core/permissions.py,
#   confirmed unchanged (regression-tested in TestNoNewPermissionGranted).
# admin_readonly holds only *_READ permissions across the whole finance_hub domain (confirmed in
#   Slice 2F-5A) -- correctly excluded from every mutation permission above.
# admin_operations and admin_security hold zero FINANCE_* permissions of any kind (confirmed via
#   direct role-bundle grep) -- correctly excluded from every mutation above.
