path,primary_capability,basis
/v1/reviews,DEPRECATED_410,"classified from actual service behaviour, not route name"
/v1/reviews/{review_id}/reply,PROVIDER_REPLY_CREATE,"classified from actual service behaviour, not route name"
/v1/reviews/{review_id}/flag,PROVIDER_REVIEW_FLAG,"classified from actual service behaviour, not route name"
/v1/reviews/{review_id}/resolve,PLATFORM_FLAG_RESOLVE,"classified from actual service behaviour, not route name"
/v1/reviews/requests,REVIEW_REQUEST_CREATE,"classified from actual service behaviour, not route name"
/v1/reviews,TENANT_LIST_READ,"classified from actual service behaviour, not route name"
/v1/reviews/{review_id},REVIEW_DETAIL_READ,"classified from actual service behaviour, not route name"
/v1/reviews/staff/{staff_id},STAFF_LIST_READ,"classified from actual service behaviour, not route name"
/v1/reviews/customers/{customer_id},CUSTOMER_LIST_READ,"classified from actual service behaviour, not route name"
/v1/reviews/aggregates/{entity_type}/{entity_id},AGGREGATE_READ,"classified from actual service behaviour, not route name"
/v1/reviews/requests,REQUEST_LIST_READ,"classified from actual service behaviour, not route name"
/v1/reviews/requests/jobs/{job_id},REQUEST_DETAIL_READ,"classified from actual service behaviour, not route name"
/v1/reviews/tenants/{tenant_id}/requests,REQUEST_LIST_READ,"classified from actual service behaviour, not route name"
/v1/reviews/tenants/{tenant_id}/recent,TENANT_LIST_READ,"classified from actual service behaviour, not route name"
/v1/reviews/meta,FALSE_POSITIVE_NON_MUTATION,"classified from actual service behaviour, not route name"
