file,type
implementation-summary.md,doc
slice-2f33-finalization-review.md,report
geo-status-scope-correction.md,report
geo-soft-reference-integrity-audit.csv,evidence
geo-final-hash-evidence.md,evidence
geo-test-count-reconciliation.csv,evidence
blanket-edit-incident-report.md,report
authoritative-unprotected-route-inventory.csv,evidence
post-geo-queue-reconciliation.md,report
held-candidate-status-reconciliation.csv,evidence
held-candidate-arithmetic.md,report
complete-service-inspection.csv,evidence
remaining-module-boundaries.csv,evidence
remaining-module-route-membership.csv,evidence
updated-risk-scoring-model.md,doc
remaining-module-risk-scores.csv,evidence
critical-security-observation-map.csv,evidence
future-slice-assignment.csv,evidence
cross-slice-file-conflict-audit.csv,evidence
remaining-program-dependency-graph.md,doc
slice-2f35-scope-summary.md,doc
slice-2f35-module-scope.csv,evidence
slice-2f35-held-scope.csv,evidence
slice-2f35-exclusion-scope.csv,evidence
slice-2f35-scope-hashes.md,evidence
slice-2f35-implementation-contract.md,contract
slice-2f36-scope-summary.md,doc
slice-2f36-module-scope.csv,evidence
slice-2f36-held-scope.csv,evidence
slice-2f36-exclusion-scope.csv,evidence
slice-2f36-scope-hashes.md,evidence
slice-2f36-implementation-contract.md,contract
slice-2f37-scope-summary.md,doc
slice-2f37-module-scope.csv,evidence
slice-2f37-held-scope.csv,evidence
slice-2f37-exclusion-scope.csv,evidence
slice-2f37-scope-hashes.md,evidence
slice-2f37-implementation-contract.md,contract
n01-domain-integrity-scope.md,doc
slice-2f38-scope-summary.md,doc
slice-2f38-certification-contract.md,contract
migration-144-readiness-contract.md,contract
readonly-account-remediation-contract.md,contract
coverage-forecast.csv,evidence
held-candidate-forecast.csv,evidence
product-decision-registry.csv,evidence
future-status-contracts.md,doc
program-verifier-spec.md,doc
program-verification-report.md,report
verifier-negative-fixture-report.md,report
m01-non-regression-report.md,report
n01-non-regression-report.md,report
geo-non-regression-report.md,report
canonical-hash-evidence.md,evidence
matrix-hash-evidence.md,evidence
application-file-non-change-report.md,report
historical-document-preservation.md,report
behavioral-invariant-report.md,report
baseline-freeze-evidence.md,evidence
deterministic-test-report.md,report
regression-comparison.csv,evidence
environment-test-evidence.md,evidence
test-quality-report.md,report
test-report.md,report
known-limitations.md,doc
deferred-items.md,doc
approval-gate.md,doc
artifact-manifest.csv,evidence
