method,path,endpoint,repository_module,service,model,inspection_state,tenant_derivation_evidence,guard_status
POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,BrandService,BrandRequest,CONFIRMED_ACCESS_SCOPE_GAP,self.tenant_id (server-derived via BrandService constructor from UserContext.tenant_id),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,BrandService,TenantSupportedBrand,CONFIRMED_ACCESS_SCOPE_GAP,self.tenant_id (server-derived); writes scoped by tenant_id==self.tenant_id,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,ProfileService,Tenant,CONFIRMED_SELF_SERVICE,self.actor.tenant_id (server-derived; no ID param -- always own tenant),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,ProfileService,Tenant,CONFIRMED_SELF_SERVICE,self.actor.tenant_id (server-derived),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,inline (provider_router.py),provider_marketing_assets,CONFIRMED_ACCESS_SCOPE_GAP,_tid(u) helper (server-derived from token; comment says never from query params),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,inline (provider_router.py),provider_marketing_campaigns,CONFIRMED_ACCESS_SCOPE_GAP,_tid(u) helper (server-derived),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,inline (provider_router.py),provider_marketing_campaigns,CONFIRMED_ACCESS_SCOPE_GAP,_tid(u) helper (server-derived),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,ReportRunner (_rpt),report run record,CONFIRMED_ACCESS_SCOPE_GAP,_tid(u) helper (server-derived),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,RecommendationEngineService,SetupRecommendation,CONFIRMED_ACCESS_SCOPE_GAP,server-derived (require_technician + tenant context); not exhaustively re-read this slice beyond guard,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,ServiceOptionService,ServiceSupportedOption,CONFIRMED_ACCESS_SCOPE_GAP,server-derived (require_technician + tenant context); not exhaustively re-read this slice beyond guard,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
