method,path,module,reason_for_inclusion
POST,/v1/serviceability/check,serviceability,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/chat/conversations/{conversation_id}/messages,chat,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/inventory/tenants/{tenant_id}/items,inventory,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,inventory,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/inventory/reservations,inventory,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/inventory/reservations/confirm,inventory,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/inventory/reservations/release,inventory,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/bookings,bookings,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/appointments/{appointment_id}/confirm,appointments,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/appointments/{appointment_id}/cancel,appointments,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/appointments/{appointment_id}/reschedule,appointments,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/appointments/{appointment_id}/no-show,appointments,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/appointments/staff/{staff_id}/calendar/block,appointments,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
DELETE,/v1/appointments/calendar/blocks/{block_id},appointments,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
PUT,/v1/appointments/staff/{staff_id}/working-hours,appointments,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/catalog,catalog,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
PUT,/v1/catalog/{item_id},catalog,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/dispatch/jobs/{job_id}/reassign,dispatch,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
GET,/v1/ds/tenants/{tenant_id}/churn/score,ds,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,ds,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,ds,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,ds,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,ds,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,ds,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
PUT,/v1/settings/tenants/{tenant_id}/{key},settings,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
DELETE,/v1/settings/tenants/{tenant_id}/{key},settings,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},notifications,Shares the enterprise/tenant-administration/operational domain; PENDING_MODULE_ADJUDICATION until 2F-36 adjudicates from direct source evidence
