method,path,endpoint,module,repository_boundary,reason_for_inclusion
POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,app.engines.admin_catalog.service_option_provider_router,missing access-scope-aware guard; service not exhaustively re-read this slice
DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,app.engines.enterprise_grid.router,app.engines.enterprise_grid.router,missing role/permission/access-scope check; ownership IS enforced
POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,app.engines.admin_catalog.brand_provider_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
PUT,/v1/me/profile,update_my_profile,app.engines.profile.router,app.engines.profile.router,self-service by design; no role/permission check at all -- product decision whether that's correct
PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,app.engines.profile.router,missing access-scope-aware guard only
PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,app.engines.enterprise_grid.router,app.engines.enterprise_grid.router,missing role/permission/access-scope check; ownership IS enforced at service layer
POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,app.engines.admin_catalog.brand_provider_router,missing access-scope-aware guard only
POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,app.engines.analytics.provider_router,missing role/permission/access-scope check; tenant scoping IS correct
POST,/v1/enterprise/exports,create_export,app.engines.enterprise_grid.router,app.engines.enterprise_grid.router,missing route-level role/permission/access-scope check; bulk data-export privacy exposure if resource-level gating has gaps (not fully re-audited this slice)
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,app.engines.marketing_automation.provider_router,missing role/permission/access-scope check; tenant scoping IS correct
PUT,/v1/staff/profile,update_staff_profile,app.engines.profile.router,app.engines.profile.router,missing access-scope-aware guard only
PUT,/v1/enterprise/column-preferences,save_column_preferences,app.engines.enterprise_grid.router,app.engines.enterprise_grid.router,self-service by construction; missing role/permission/access-scope check only
POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,app.engines.marketing_automation.provider_router,missing role/permission/access-scope check; tenant scoping IS correct
POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,app.engines.enterprise_grid.router,app.engines.enterprise_grid.router,missing role/permission/access-scope check PLUS a partial ownership gap in set_default itself
POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,app.engines.profile.router,missing access-scope-aware guard only
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,app.engines.admin_catalog.recommendation_router,missing access-scope-aware guard; service not exhaustively re-read this slice
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,app.engines.marketing_automation.provider_router,missing role/permission/access-scope check
POST,/v1/enterprise/saved-views,create_saved_view,app.engines.enterprise_grid.router,app.engines.enterprise_grid.router,missing role/permission/access-scope check; no ownership needed (create)
