route_key,method,path,endpoint,repository_module,router,service,model_resource,capability_family,permission,existing_guard,access_scope_behavior,principal_tenant_source,object_tenant_source,parent_ownership_source,client_tenant_inputs,direct_service_call_behavior,alternate_routes,current_status,primary_authorization_defect,privacy_integrity_concern,prior_slice_provenance
POST /v1/provider/brands/requests,POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,brand_provider_router.py,BrandService,BrandRequest,catalog.brand.request_create,none (role only),require_technician,NOT enforced,self.tenant_id (server-derived),n/a (create),n/a,none,fails closed if actor lacks tenant_id (create writes tenant_id=self.tenant_id),none found,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,missing access-scope-aware guard only,none found this slice,2F-26 persona sweep
POST /v1/provider/brands/services/{service_id}/supported,POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,brand_provider_router.py,BrandService,TenantSupportedBrand,catalog.brand.support_set,none (role only),require_technician,NOT enforced,self.tenant_id (server-derived),TenantSupportedBrand.tenant_id==self.tenant_id (write scope),n/a (service_id is a shared platform catalog id, not tenant-owned),none,fails closed (NO_TENANT_CONTEXT if missing),none found,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,missing access-scope-aware guard only,none found this slice,2F-26 persona sweep
PUT /v1/provider/business-profile,PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,profile/router.py,ProfileService,Tenant,profile.business.update,none (role only),require_technician,NOT enforced,self.actor.tenant_id (server-derived; no ID param at all),n/a (self only),n/a,none,self-service by construction,none found,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,missing access-scope-aware guard only,none found this slice,2F-26 persona sweep
POST /v1/provider/business-profile/submit-review,POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,profile/router.py,ProfileService,Tenant,profile.business.submit_review,none (role only),require_technician,NOT enforced,self.actor.tenant_id,n/a,n/a,none,self-service,none found,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,missing access-scope-aware guard only,none found this slice,2F-26 persona sweep
PUT /v1/staff/profile,PUT,/v1/staff/profile,update_staff_profile,app.engines.profile.router,profile/router.py,ProfileService,User,profile.staff.update,none (role only),require_technician,NOT enforced,n/a (self only -- no ID param),n/a,n/a,none,self-service,none found,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,missing access-scope-aware guard only,none found this slice,2F-26 persona sweep
PUT /v1/me/profile,PUT,/v1/me/profile,update_my_profile,app.engines.profile.router,profile/router.py,ProfileService,User,profile.self.update,none,get_current_user only,NOT enforced,n/a (self only),n/a,n/a,none,self-service,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,self-service by design; no role/permission check at all -- product decision whether that's correct,none found this slice,2F-26 persona sweep
PUT /v1/provider/marketing/assets/{asset_id}/provider-notes,PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,provider_router.py,inline (no separate service class),provider_marketing_assets,marketing.asset.notes_update,none,get_current_user only,NOT enforced,_tid(u) helper (server-derived from token),query scoped WHERE id=:aid AND tenant_id=:tid,n/a,none,fails closed (_tid raises if no tenant_id in token),none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing role/permission/access-scope check; tenant scoping IS correct,none found this slice,2F-23 per-endpoint review
POST /v1/provider/marketing/campaigns/generate-launch,POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,provider_router.py,inline,provider_marketing_campaigns,marketing.campaign.generate,none,get_current_user only,NOT enforced,_tid(u) helper,n/a (create),n/a,none,fails closed,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing role/permission/access-scope check; tenant scoping IS correct,none found this slice,2F-23 per-endpoint review
POST /v1/provider/marketing/campaigns/{campaign_id}/submit-review,POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,provider_router.py,inline,provider_marketing_campaigns,marketing.campaign.submit_review,none,get_current_user only,NOT enforced,_tid(u) helper,not independently re-verified this slice,n/a,none,not independently re-verified this slice,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing role/permission/access-scope check,not independently re-verified this slice,2F-23 per-endpoint review
POST /v1/provider/reports/run,POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,provider_router.py,ReportRunner (_rpt),report run record,analytics.report.run,none,get_current_user only,NOT enforced,_tid(u) helper (server-derived),n/a (create),n/a,none,fails closed,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing role/permission/access-scope check; tenant scoping IS correct,none found this slice,2F-23 per-endpoint review
POST /v1/provider/setup/recommendations,POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,recommendation_router.py,RecommendationEngineService,SetupRecommendation,catalog.setup.recommend,none (role only),require_technician,NOT enforced,server-derived (require_technician + tenant context),not exhaustively re-read this slice,n/a,none,not exhaustively re-read this slice,none found,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,missing access-scope-aware guard; service not exhaustively re-read this slice,not exhaustively re-read this slice,2F-26 persona sweep
POST /v1/provider/setup/services/{service_id}/supported-options,POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,service_option_provider_router.py,ServiceOptionService,ServiceSupportedOption,catalog.service_option.support_set,none (role only),require_technician,NOT enforced,server-derived (require_technician + tenant context),not exhaustively re-read this slice,n/a,none,not exhaustively re-read this slice,none found,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,missing access-scope-aware guard; service not exhaustively re-read this slice,not exhaustively re-read this slice,2F-26 persona sweep
