artifact,class,status,reason
implementation-summary.md,REQUIRED,PRODUCED,
frozen-scope-verification.md,REQUIRED,PRODUCED,
selected-route-runtime-inventory.csv,REQUIRED,PRODUCED,
selected-route-caller-graph.csv,REQUIRED,PRODUCED,
per-route-authority-contract.csv,REQUIRED,PRODUCED,
held-route-adjudication.csv,REQUIRED,PRODUCED,
mutation-scope-enforcement-report.md,REQUIRED,PRODUCED,
client-tenant-authority-audit.csv,REQUIRED,PRODUCED,
media-object-ownership-audit.csv,REQUIRED,PRODUCED,
media-access-service-evidence.md,REQUIRED,PRODUCED,
storage-authority-audit.csv,REQUIRED,PRODUCED,
service-layer-enforcement-audit.csv,REQUIRED,PRODUCED,
alternate-route-bypass-audit.csv,REQUIRED,PRODUCED,
connected-read-privacy-audit.csv,REQUIRED,PRODUCED,
signed-url-token-redaction-report.md,REQUIRED,PRODUCED,
domain-state-integrity-audit.csv,REQUIRED,PRODUCED,
database-storage-atomicity-report.md,REQUIRED,PRODUCED,
internal-caller-preservation.csv,REQUIRED,PRODUCED,
live-database-storage-evidence.md,REQUIRED,PRODUCED,
route-protection-before-after.csv,REQUIRED,PRODUCED,
canonical-row-diff.csv,REQUIRED,PRODUCED,
mutation-enforcement-matrix-diff.csv,REQUIRED,PRODUCED,
canonical-coverage-arithmetic.csv,REQUIRED,PRODUCED,
current-canonical-coverage.md,REQUIRED,PRODUCED,
set-c-non-regression-report.md,REQUIRED,PRODUCED,
m01-non-regression-report.md,REQUIRED,PRODUCED,
n01-closure-verifier-spec.md,REQUIRED,PRODUCED,
n01-verification-report.md,REQUIRED,PRODUCED,
verifier-negative-fixture-report.md,REQUIRED,PRODUCED,
targeted-test-report.md,REQUIRED,PRODUCED,
behavioral-invariant-report.md,REQUIRED,PRODUCED,
baseline-freeze-evidence.md,REQUIRED,PRODUCED,
deterministic-test-report.md,REQUIRED,PRODUCED,
regression-comparison.csv,REQUIRED,PRODUCED,
environment-test-evidence.md,REQUIRED,PRODUCED,
regression-report.md,REQUIRED,PRODUCED,
product-decisions-required.md,REQUIRED,PRODUCED,
known-limitations.md,REQUIRED,PRODUCED,
deferred-items.md,REQUIRED,PRODUCED,
documentation-corrections.md,REQUIRED,PRODUCED,
test-quality-report.md,REQUIRED,PRODUCED,
test-report.md,REQUIRED,PRODUCED,
approval-gate.md,REQUIRED,PRODUCED,
artifact-manifest.csv,REQUIRED,PRODUCED,
