method,path,previous_status,final_status,change
POST,/v1/provider/profile/logo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,STATUS_UPDATED
DELETE,/v1/provider/profile/logo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,STATUS_UPDATED
POST,/v1/provider/profile/shop-photo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,STATUS_UPDATED
DELETE,/v1/provider/profile/shop-photo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,STATUS_UPDATED
POST,/v1/staff/profile/photo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,STATUS_UPDATED
DELETE,/v1/staff/profile/photo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,STATUS_UPDATED
POST,/v1/me/profile-photo,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,STATUS_UPDATED
POST,/v1/media/upload,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,UNCHANGED_DOCUMENTED_BLOCKER
POST,/v1/media/{media_id}/replace,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,UNCHANGED_DOCUMENTED_BLOCKER
POST,/v1/media/upload/initiate,(not canonical),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,ROW_ADDED
POST,/v1/media/upload/{session_id}/confirm,(not canonical),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,ROW_ADDED
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},(not canonical),PERMISSION_ONLY_NOT_SCOPE_AWARE,ROW_ADDED
