file,category
implementation-summary.md,summary
active-process-quarantine.md,quarantine
dedicated-worktree-evidence.md,worktree
recovery-strategy-decision.md,strategy
unknown-path-resolution.md,classification
canonical-state-reconciliation.md,evidence
historical-test-integrity-report.md,test
phase2f-regression-report.md,regression
deterministic-test-report.md,regression
recovered-branch-report.md,evidence
ux05-preservation-report.md,ux05
role-remediation-blocker.md,blocker
migration-runtime-blocker.md,blocker
forbidden-change-report.md,disclosure
known-limitations.md,disclosure
deferred-items.md,disclosure
documentation-corrections.md,disclosure
approval-gate.md,status
artifact-manifest.csv,manifest
