method,path,module,disposition,evidence
POST,/v1/staff/service-jobs/{job_id}/accept,app.engines.execution.home_service_router,DISCONNECTED,"Identical (method,path) also registered by home_service_assignment.staff_router, which is imported/mounted in app/main.py BEFORE execution.home_service_router (Sprint 20 vs Sprint 21 comment blocks). Starlette/FastAPI routing is first-match-wins. Live HTTP call (mocked-DB pytest) to this path returned engine_id=""assignment"" and error code STAFF_JOB_NOT_ASSIGNED_TO_USER -- both unique to home_service_assignment.staff_router's response shape, conclusively proving execution's staff_accept_job never executes."
POST,/v1/staff/service-jobs/{job_id}/reject,app.engines.execution.home_service_router,DISCONNECTED,"Same evidence pattern as accept -- identical path shadowed by home_service_assignment.staff_router.reject_job, confirmed via live HTTP call returning the assignment router's response shape."
POST,/v1/staff/service-jobs/{job_id}/accept,app.engines.home_service_assignment.staff_router,CANONICAL_ASSIGNMENT_ROUTE,"The only reachable implementation at this path (confirmed live). Operates on ServiceJob (final_records) + ServiceJobAssignment via HomeServiceJobAssignmentService.technician_accept_job -- validates the caller's resolved staff_id against ServiceJobAssignment.assigned_staff_member_id before transitioning status."
POST,/v1/staff/service-jobs/{job_id}/reject,app.engines.home_service_assignment.staff_router,CANONICAL_ASSIGNMENT_ROUTE,"Same evidence as accept -- the only reachable implementation, assignment-ownership-checked."
POST,/v1/provider/service-jobs/{job_id}/cancel,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Calls HomeServiceJobExecutionService.cancel_job -- a distinct, whole-job-cancellation transition, not a duplicate of cancel_assignment (which only cancels the current technician's assignment record). No overlapping path exists (different URL: /cancel vs /cancel-assignment)."
POST,/v1/provider/service-jobs/{job_id}/cancel-assignment,app.engines.home_service_assignment.provider_router,CANONICAL_ASSIGNMENT_ROUTE,"Cancels only the ServiceJobAssignment record so the job can be reassigned to a different technician -- confirmed via source reading of HomeServiceJobAssignmentService.cancel_assignment, a different transition from provider_cancel_job's whole-job cancellation."
POST,/v1/provider/service-jobs/{job_id}/assign,app.engines.home_service_assignment.provider_router,CANONICAL_ASSIGNMENT_ROUTE,"Sole owner of initial technician assignment -- no competing route exists anywhere in execution.home_service_router."
POST,/v1/provider/service-jobs/{job_id}/reassign,app.engines.home_service_assignment.provider_router,CANONICAL_ASSIGNMENT_ROUTE,"Sole owner of reassignment -- no competing route exists."
POST,/v1/provider/service-jobs/{job_id}/schedule,app.engines.home_service_assignment.provider_router,CANONICAL_ASSIGNMENT_ROUTE,"Sole owner of scheduling -- no competing route exists."
POST,/v1/staff/service-jobs/{job_id}/on-the-way,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner of this execution-progress transition -- no competing route exists in home_service_assignment (which only exposes accept/reject as mutations)."
POST,/v1/staff/service-jobs/{job_id}/reached-site,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/start-inspection,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/complete-inspection,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/start-service,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/work-done,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/complete,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/customer-not-available,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/diagnosis-notes,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/notes,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/media,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/parts-required,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/quote-required,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/staff/service-jobs/{job_id}/parts-requests,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner of PartsRequest creation -- confirmed no parts endpoint exists anywhere in home_service_assignment module (grepped, zero matches)."
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{id}/approve,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{id}/reject,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner -- no competing route."
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{id}/install,app.engines.execution.home_service_router,CANONICAL_SERVICEJOB_EXECUTION,"Sole owner, provider-only (per prior slice's Mark Installed restriction) -- no competing route."
POST,/v1/admin/service-jobs/{job_id}/force-close,app.engines.execution.home_service_router,PLATFORM_INTERNAL,"Permission-gated admin override -- no competing route, distinct persona (platform admin, not tenant-scoped staff/provider)."
POST,/v1/admin/service-jobs/{job_id}/status-override,app.engines.execution.home_service_router,PLATFORM_INTERNAL,"Same as above."
POST,/v1/admin/service-jobs/{job_id}/void,app.engines.execution.home_service_router,PLATFORM_INTERNAL,"Same as above."
