endpoint_name,final_classification,evidence
check_eligible,CUSTOMER_COMPLAINT_CREATE,advisory eligibility check; require_customer + _customer_owns_record (existing)
create_complaint,CUSTOMER_COMPLAINT_CREATE,require_customer (fixed) + record ownership (fixed)
list_complaints,CUSTOMER_COMPLAINT_CREATE,require_customer (fixed); query filtered by customer_id (existing)
get_complaint,CUSTOMER_COMPLAINT_MESSAGE,require_customer (fixed) + get_customer_complaint (existing)
add_message,CUSTOMER_COMPLAINT_MESSAGE,require_customer (fixed) + get_customer_complaint + FINAL_STATUSES guard (existing)
list_messages,CUSTOMER_COMPLAINT_MESSAGE,require_customer (fixed) + get_customer_complaint + is_visible_to filter (existing)
list_resolutions,CUSTOMER_RESOLUTION_ACCEPT,require_customer (fixed) + get_customer_complaint (existing) -- read-only enabler for accept/reject
get_ai_session,CUSTOMER_COMPLAINT_MESSAGE,require_customer (fixed) + get_customer_complaint (existing); customer-safe view only
submit_ai_answers,CUSTOMER_COMPLAINT_MESSAGE,require_customer (fixed) + get_customer_complaint (existing)
cancel_complaint,CUSTOMER_COMPLAINT_WITHDRAW,require_customer (fixed) + get_customer_complaint + _transition (existing)
accept_resolution,CUSTOMER_RESOLUTION_ACCEPT,require_customer (fixed) + get_customer_complaint + resolution cross-check (fixed) + pre-validated transition (fixed)
reject_resolution,CUSTOMER_RESOLUTION_REJECT,require_customer (fixed) + get_customer_complaint + resolution cross-check (fixed) + pre-validated transition (fixed)
request_refund,CUSTOMER_ESCALATION_REQUEST,require_customer (fixed) + get_customer_complaint (fixed -- was unchecked)
list_settlement_proposals,CUSTOMER_SETTLEMENT_ACCEPT,require_customer (fixed) + get_customer_complaint (existing) -- read-only enabler
respond_to_settlement,CUSTOMER_SETTLEMENT_ACCEPT,require_customer (fixed) + get_customer_complaint + proposal cross-check (already fixed Slice 2F-9)
