file,type
implementation-summary.md,doc
frozen-scope-verification.md,report
geo-route-runtime-inventory.csv,evidence
geo-caller-graph.csv,evidence
per-route-authority-contract.csv,evidence
held-route-adjudication.csv,evidence
mutation-scope-enforcement-report.md,report
principal-tenant-authority-audit.csv,evidence
zone-location-ownership-audit.csv,evidence
geo-service-authorization-context.md,doc
geography-hierarchy-integrity-audit.csv,evidence
connected-read-error-privacy-audit.csv,evidence
alternate-route-bypass-audit.csv,evidence
internal-caller-preservation.csv,evidence
live-database-evidence.md,report
route-protection-before-after.csv,evidence
held-registry-before-after.csv,evidence
canonical-row-diff.csv,evidence
mutation-enforcement-matrix-diff.csv,evidence
canonical-coverage-arithmetic.csv,evidence
held-candidate-arithmetic.md,report
current-canonical-coverage.md,doc
m01-non-regression-report.md,report
n01-non-regression-report.md,report
geo-closure-verifier-spec.md,doc
geo-verification-report.md,report
verifier-negative-fixture-report.md,report
targeted-test-report.md,report
behavioral-invariant-report.md,report
baseline-freeze-evidence.md,evidence
deterministic-test-report.md,report
regression-comparison.csv,evidence
environment-test-evidence.md,evidence
regression-report.md,report
product-decisions-required.md,doc
known-limitations.md,doc
deferred-items.md,doc
documentation-corrections.md,doc
test-quality-report.md,report
test-report.md,report
approval-gate.md,doc
artifact-manifest.csv,evidence
