mounted_route_or_caller,classification,evidence
DELETE /v1/geo/zones/{zone_id},Set A,closed this slice
POST /v1/geo/tenants/{tenant_id}/zones,Set B (added),closed this slice
POST /v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,Set B (added),closed this slice
GET /v1/geo/zones/{zone_id} (get_zone),Protected Set C (read-only; out of mutation scope),unchanged, not a mutation bypass
PUT /v1/geo/zones/{zone_id} (update_zone),Protected Set C (explicit 2F-32 observation),unchanged; shares the same historical defect but frozen out of this slice's scope by the mission
GET /v1/geo/tenants/{tenant_id}/zones (list_tenant_zones),Protected Set C (read-only),unchanged
GET /v1/geo/tenants/{tenant_id}/zones/check (check_pincode_in_zone),Protected Set C (read-only),unchanged
GET/POST /v1/geo/tenants/{tenant_id}/staff/{staff_id}/location (get_location),Protected Set C (read-only sibling),unchanged
GET /v1/geo/tenants/{tenant_id}/staff/radius,Protected Set C (read-only),unchanged
GET /v1/geo/tenants/{tenant_id}/coverage,Protected Set C (read-only),unchanged
app/engines/booking/service.py GeoService(self.db) construction,Internal trusted caller,calls only the untouched check_pincode_in_zone; verified by test_booking_internal_caller_only_uses_readonly_method
app/engines/location_engine/router.py create_zone,Separate subsystem,LocationService, not GeoService -- confirmed by class-identity test
app/engines/pricing/router.py create_zone / delete_zone,Separate subsystem,PricingService, not GeoService -- confirmed by class-identity test
