from_status,to_status,acting_persona,ownership_requirement,assignment_requirement,required_reason,amount_lock,customer_participation,provider_participation,job_status_effect,invoice_payment_effect,audit_event,notification,reversibility,final_state
draft,submitted_to_provider,provider (route not found -- transition exists in table but no service method targets it directly except via mark_revised's REVISED->SUBMITTED_TO_PROVIDER path),tenant,none proven,no,editable (ITEM_EDITABLE_QUOTE_STATUSES),no,yes,none,none,none,none,reversible via provider_rejected,no
draft,sent_to_customer,provider (staff_send_to_customer),tenant,none proven,no,locked from item edits (ITEM_EDITABLE excludes sent_to_customer),no,yes,job -> awaiting_customer_quote_approval,none,QEV_SENT_TO_CUSTOMER,notify_customer_quote_sent,reversible via customer decision or cancel,no
draft,cancelled,provider (staff_cancel_quote/provider_cancel_quote),tenant,none proven,optional,frozen,no,yes,none,none,QEV_CANCELLED,none,no,yes
submitted_to_provider,provider_approved,provider (no route found reaching this specific transition directly -- present in table, not exercised by any discovered route),tenant,none proven,no,editable,no,yes,none,none,none,none,reversible to sent_to_customer,no
submitted_to_provider,provider_rejected,provider (same as above -- table-only, no discovered route),tenant,none proven,no,editable,no,yes,none,none,none,none,reversible via mark_revised,no
submitted_to_provider,cancelled,provider,tenant,none proven,optional,frozen,no,yes,none,none,QEV_CANCELLED,none,no,yes
provider_approved,sent_to_customer,provider (staff_send_to_customer),tenant,none proven,no,locked from item edits,no,yes,job -> awaiting_customer_quote_approval,none,QEV_SENT_TO_CUSTOMER,notify_customer_quote_sent,reversible,no
provider_approved,cancelled,provider,tenant,none proven,optional,frozen,no,yes,none,none,QEV_CANCELLED,none,no,yes
provider_rejected,revised,provider (staff_mark_revised),tenant,none proven,no,editable again,no,yes,none,none,QEV_REVISED,none,reversible,no
provider_rejected,cancelled,provider,tenant,none proven,optional,frozen,no,yes,none,none,QEV_CANCELLED,none,no,yes
sent_to_customer,customer_approved,customer (customer_approve_quote),customer (quote.customer_id == caller),no,no (idempotency_key required instead),frozen (locked_at set),yes,no,job -> quote_approved,none built,QEV_CUSTOMER_APPROVED,notify_provider_quote_decision,no,yes
sent_to_customer,customer_rejected,customer (customer_reject_quote),customer,no,yes (reason required),frozen (terminal, no further edits reachable),yes,no,job -> quote_rejected,none,QEV_CUSTOMER_REJECTED,notify_provider_quote_decision,no,yes
sent_to_customer,revision_requested,customer (customer_request_revision),customer,no,yes (reason required),unchanged (not locked -- provider must act next),yes,no,job -> quote_revision_requested,none,QEV_REVISION_REQUESTED,notify_provider_quote_decision,reversible via mark_revised,no
sent_to_customer,expired,none found (no writer reaches this transition),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,none,no,yes (PRODUCT_DECISION_REQUIRED -- designed but unimplemented)
sent_to_customer,cancelled,provider,tenant,none proven,optional,frozen,no,yes,none,none,QEV_CANCELLED,none,no,yes
customer_approved,(none -- terminal),n/a,n/a,n/a,n/a,frozen,n/a,n/a,n/a,n/a,n/a,n/a,no,yes
customer_rejected,(none -- terminal),n/a,n/a,n/a,n/a,frozen (item mutation now blocked -- this slice's fix),n/a,n/a,n/a,n/a,n/a,n/a,no,yes
revision_requested,revised,provider (staff_mark_revised),tenant,none proven,no,editable again,no,yes,none,none,QEV_REVISED,none,reversible,no
revision_requested,cancelled,provider,tenant,none proven,optional,frozen,no,yes,none,none,QEV_CANCELLED,none,no,yes
revised,submitted_to_provider,provider (implicit -- present in table),tenant,none proven,no,editable,no,yes,none,none,none,none,reversible,no
revised,sent_to_customer,provider (staff_send_to_customer),tenant,none proven,no,locked from item edits,no,yes,job -> awaiting_customer_quote_approval,none,QEV_SENT_TO_CUSTOMER,notify_customer_quote_sent,reversible,no
revised,cancelled,provider,tenant,none proven,optional,frozen,no,yes,none,none,QEV_CANCELLED,none,no,yes
expired,(none -- terminal, unreachable),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,yes
cancelled,(none -- terminal),n/a,n/a,n/a,n/a,frozen (item mutation now blocked -- this slice's fix),n/a,n/a,n/a,n/a,n/a,n/a,no,yes
