path,methods,module,endpoint_name,guard_status,ownership_check,verification
/v1/staff/me/jobs,GET,app.engines.field_ops.staff_router,my_jobs,STAFF_EXECUTION_ROLE_SCOPE_AWARE,actor_tenant_id+actor_id forced by list_jobs,SLICE_2F14_VERIFIED
/v1/staff/me/jobs/{job_id},GET,app.engines.field_ops.staff_router,my_job_detail,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_assert_can_access_job,SLICE_2F14_VERIFIED
/v1/staff/me/jobs/{job_id}/accept,POST,app.engines.field_ops.staff_router,accept,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action,SLICE_2F14_VERIFIED
/v1/staff/me/jobs/{job_id}/reject-assignment,POST,app.engines.field_ops.staff_router,reject,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action,SLICE_2F14_VERIFIED
/v1/staff/me/jobs/{job_id}/status,PUT,app.engines.field_ops.staff_router,update_status,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_assert_can_access_job + lifecycle guard chain,SLICE_2F14_VERIFIED
/v1/staff/me/jobs/{job_id}/checklist,GET,app.engines.field_ops.staff_router,my_job_checklist,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action,SLICE_2F14_VERIFIED
/v1/staff/me/jobs/{job_id}/checklist/start,POST,app.engines.field_ops.staff_router,my_job_checklist_start,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action + idempotent provisioning,SLICE_2F14_VERIFIED
/v1/staff/me/jobs/{job_id}/checklist/items/{item_id},PUT,app.engines.field_ops.staff_router,my_job_checklist_item,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action + CHECKLIST_NOT_ACTIVE gate (new),SLICE_2F14_VERIFIED
/v1/staff/me/jobs/{job_id}/checklist/complete,POST,app.engines.field_ops.staff_router,my_job_checklist_complete,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action + required-item check,SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/assign,POST,app.engines.field_ops.router,assign_job,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,_get_job_for_assignment (tenant_owner own-tenant),SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/status,PUT,app.engines.field_ops.router,update_status,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,_assert_can_access_job + lifecycle guard chain,SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/accept,POST,app.engines.field_ops.router,accept_job,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action,SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/reject-assignment,POST,app.engines.field_ops.router,reject_assignment,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action,SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/checklist/start,POST,app.engines.field_ops.router,start_checklist,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action + idempotent provisioning,SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/checklist/items/{item_id},PUT,app.engines.field_ops.router,update_checklist_item,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action + CHECKLIST_NOT_ACTIVE gate (new),SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/checklist/complete,POST,app.engines.field_ops.router,complete_checklist,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action + required-item check,SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/findings,POST,app.engines.field_ops.router,submit_findings,STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action,SLICE_2F14_VERIFIED
/v1/jobs/{job_id}/checklist,PUT,app.engines.field_ops.router,update_checklist (legacy),STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_staff_action (writes inert Job.checklist JSONB only),SLICE_2F14_VERIFIED
/v1/jobs,POST,app.engines.field_ops.router,create_job,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/respond-quote,POST,app.engines.field_ops.router,respond_to_quote,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/assessment/start,POST,app.engines.field_ops.router,start_assessment,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/assessment/complete,POST,app.engines.field_ops.router,complete_assessment,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/close,POST,app.engines.field_ops.router,close_job,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/convert-to-repair,POST,app.engines.field_ops.router,convert_to_repair,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/commission/deduct,POST,app.engines.field_ops.router,deduct_commission,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/financial-close,POST,app.engines.field_ops.router,financial_close,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/invoice,POST,app.engines.field_ops.router,generate_invoice,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/media,POST,app.engines.field_ops.router,add_media,UNVERIFIED,NONE (finding: no tenant/role/ownership filter -- see evidence-media-boundary.md),OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/media,GET,app.engines.field_ops.router,list_media,UNVERIFIED,NONE (finding: no tenant/role/ownership filter -- see evidence-media-boundary.md),OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/notes,POST,app.engines.field_ops.router,add_note,UNVERIFIED,NONE (finding: no tenant/role/ownership filter -- see job-note-privacy.md),OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/notes,GET,app.engines.field_ops.router,list_notes,UNVERIFIED,NONE (finding: is_internal not filtered -- see job-note-privacy.md),OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/quotes,POST,app.engines.field_ops.router,create_job_quote,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/quotes/{quote_id}/approve,POST,app.engines.field_ops.router,approve_job_quote,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/quotes/{quote_id}/reject,POST,app.engines.field_ops.router,reject_job_quote,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/quotes/{quote_id}/send,POST,app.engines.field_ops.router,send_job_quote,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/quote,POST,app.engines.field_ops.router,create_quote,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/payment,POST,app.engines.field_ops.router,record_payment,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/spawn-repair,POST,app.engines.field_ops.router,spawn_repair,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
/v1/jobs/{job_id}/void,POST,app.engines.field_ops.router,void_job,UNVERIFIED,n/a,OUT_OF_SCOPE_SLICE_2F14
