method,path,endpoint_name,classification,permission,in_tenant_owner_bundle,ownership_check,guard_before,guard_after
POST,/v1/tenants/onboarding/signup,submit_signup,FALSE_POSITIVE,none (public),n/a,n/a,none,none (unchanged)
POST,/v1/tenants/onboarding/{request_id}/activate,activate_tenant,PLATFORM_ADMIN_MUTATION,none (role-gated),n/a,n/a,require_super_admin,require_super_admin (unchanged)
PUT,/v1/tenants/onboarding/{request_id}/checklist/{item_key},update_checklist,PLATFORM_ADMIN_MUTATION,none (role-gated),n/a,n/a,require_super_admin,require_super_admin (unchanged)
POST,/v1/tenants/onboarding/{request_id}/preflight-check,preflight_check,PLATFORM_ADMIN_MUTATION,none (role-gated),n/a,n/a,require_super_admin,require_super_admin (unchanged)
POST,/v1/tenants/onboarding/{request_id}/reject,reject_onboarding,PLATFORM_ADMIN_MUTATION,none (role-gated),n/a,n/a,require_super_admin,require_super_admin (unchanged)
POST,/v1/tenants/onboarding/{request_id}/request-documents,request_documents,PLATFORM_ADMIN_MUTATION,none (role-gated),n/a,n/a,require_super_admin,require_super_admin (unchanged)
POST,/v1/tenants/onboarding/{request_id}/start-review,start_review,PLATFORM_ADMIN_MUTATION,none (role-gated),n/a,n/a,require_super_admin,require_super_admin (unchanged)
POST,/v1/tenants/{tenant_id}/billing/dunning,trigger_dunning,PLATFORM_ADMIN_MUTATION,none (role-gated),n/a,n/a,require_super_admin,require_super_admin (unchanged)
PUT,/v1/tenants/{tenant_id},update_tenant,TENANT_OWNER_MUTATION,tenant:update,yes,yes (_assert_own_tenant_or_super_admin),require_permission,require_tenant_mutation_permission
PUT,/v1/tenants/{tenant_id}/billing/payment-method,update_payment_method,TENANT_OWNER_MUTATION,tenant:billing:manage,yes,yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/data/export,request_data_export,TENANT_OWNER_MUTATION,tenant:data:export,yes,yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,bulk_enable,TENANT_OWNER_MUTATION,tenant:engines:manage,yes,yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,bulk_disable,TENANT_OWNER_MUTATION,tenant:engines:manage,yes,yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,enable_engine,TENANT_OWNER_MUTATION,tenant:engines:manage,yes,yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,disable_engine,TENANT_OWNER_MUTATION,tenant:engines:manage,yes,yes,require_permission,require_tenant_mutation_permission
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,update_engine_config,TENANT_OWNER_MUTATION,tenant:engines:manage,yes,yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/config/validate,validate_engine_config,TENANT_OWNER_MUTATION,tenant:engines:manage,yes,yes,require_permission,require_tenant_mutation_permission
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,TENANT_OWNER_MUTATION,tenant:flags:manage,yes,yes,require_permission,require_tenant_mutation_permission
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},delete_feature_flag,TENANT_OWNER_MUTATION,tenant:flags:manage,yes,yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/suspend,suspend_tenant,PLATFORM_ADMIN_ONLY (corrected in Slice 2F-1A -- see phase-02a-slice-02f1a/tenant-engine-final-policy-matrix.csv),tenant:suspend,NO -- granted to no role today (super_admin-only via P.ALL),yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/reinstate,reinstate_tenant,PLATFORM_ADMIN_ONLY (corrected in Slice 2F-1A -- see phase-02a-slice-02f1a/tenant-engine-final-policy-matrix.csv),tenant:reinstate,NO -- granted to no role today (super_admin-only via P.ALL),yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/terminate/begin,begin_termination,PLATFORM_ADMIN_ONLY (corrected in Slice 2F-1A -- see phase-02a-slice-02f1a/tenant-engine-final-policy-matrix.csv),tenant:terminate,NO -- granted to no role today (super_admin-only via P.ALL),yes,require_permission,require_tenant_mutation_permission
POST,/v1/tenants/{tenant_id}/terminate/confirm,confirm_termination,PLATFORM_ADMIN_ONLY (corrected in Slice 2F-1A -- see phase-02a-slice-02f1a/tenant-engine-final-policy-matrix.csv),tenant:terminate,NO -- granted to no role today (super_admin-only via P.ALL),yes,require_permission,require_tenant_mutation_permission
