artifact,class,status,reason
implementation-summary.md,REQUIRED,PRODUCED,
frozen-mixed-persona-population.csv,REQUIRED,PRODUCED,
population-freeze-evidence.md,REQUIRED,PRODUCED,
shared-review-contract.md,REQUIRED,PRODUCED,
reviewer-a-adjudication.csv,REQUIRED,PRODUCED,
reviewer-a-freeze-evidence.md,REQUIRED,PRODUCED,
reviewer-b-adjudication.csv,REQUIRED,PRODUCED,
reviewer-b-freeze-evidence.md,REQUIRED,PRODUCED,
reviewer-independence-evidence.md,REQUIRED,PRODUCED,
reviewer-classifier-comparison.csv,REQUIRED,PRODUCED,
reviewer-disagreement-inventory.csv,REQUIRED,PRODUCED,
disagreement-resolution.csv,REQUIRED,PRODUCED,
boundary-route-resolution.md,REQUIRED,PRODUCED,
final-persona-partition.csv,REQUIRED,PRODUCED,
persona-arithmetic.md,REQUIRED,PRODUCED,
canonical-runtime-row-matching.csv,REQUIRED,PRODUCED,
canonical-row-diff.csv,REQUIRED,PRODUCED,
mutation-enforcement-matrix-diff.csv,REQUIRED,PRODUCED,
canonical-edit-gate.md,REQUIRED,PRODUCED,
canonical-hash-evidence.md,REQUIRED,PRODUCED,
matrix-hash-evidence.md,REQUIRED,PRODUCED,
application-wide-coverage-reconciliation.md,REQUIRED,PRODUCED,
canonical-coverage-arithmetic.csv,REQUIRED,PRODUCED,
authoritative-unprotected-module-queue.csv,REQUIRED,PRODUCED,
remaining-module-risk-scoring.csv,REQUIRED,PRODUCED,
security-observation-registry.csv,REQUIRED,PRODUCED,
dual-review-verifier-spec.md,REQUIRED,PRODUCED,
dual-review-verification-report.md,REQUIRED,PRODUCED,
verifier-negative-fixture-report.md,REQUIRED,PRODUCED,
behavioral-invariant-report.md,REQUIRED,PRODUCED,
baseline-freeze-evidence.md,REQUIRED,PRODUCED,
regression-comparison.csv,REQUIRED,PRODUCED,
environment-test-evidence.md,REQUIRED,PRODUCED,
regression-report.md,REQUIRED,PRODUCED,
product-decisions-required.md,REQUIRED,PRODUCED,
known-limitations.md,REQUIRED,PRODUCED,
deferred-items.md,REQUIRED,PRODUCED,
documentation-corrections.md,REQUIRED,PRODUCED,
test-quality-report.md,REQUIRED,PRODUCED,
test-report.md,REQUIRED,PRODUCED,
approval-gate.md,REQUIRED,PRODUCED,
artifact-manifest.csv,REQUIRED,PRODUCED,
