method,path,final_persona,in_canonical,row_result
POST,/v1/auth/mfa/setup,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/auth/mfa/backup-codes/regenerate,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/auth/logout,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/auth/logout-all,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
DELETE,/v1/auth/sessions/{session_id},SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/auth/staff/{user_id}/invite/resend,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
PUT,/v1/auth/staff/{user_id}/schedule,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
GET,/v1/auth/login-history,READ_ONLY_NOT_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/auth/sessions/revoke-all-other,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
PUT,/v1/tenants/{tenant_id},TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/suspend,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/reinstate,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/terminate/begin,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/terminate/confirm,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/plan/upgrade,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/plan/downgrade,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/trial/convert,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
