method,path,disputed_field,A_evidence,B_evidence,guard_roles,permission,tenant_guard,tenant_inputs,ownership,principal_scope,final_persona,final_direction,resolution_rationale,product_decision
POST,/v1/serviceability/check,persona+direction,ServiceabilityService.check_serviceability:.add()|Serviceabi,cap=TENANT_PROVIDER;roles=customer|super_admin|tenant_owner;,customer|super_admin|tenant_owner,serviceability:check,False,,NONE,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (serviceability:check) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/compliance/deletion-requests,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,ComplianceService.request_deletion: owne,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/compliance/portability-requests,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,ComplianceService.request_export: owners,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/security/sessions,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,SecurityService.create_session: ownershi,False,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,"no tenant-capable guard, no tenant input, no principal scope -> genuine product decision",True
POST,/v1/security/sessions/{session_id}/revoke,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,SecurityService.revoke_session: ownershi,False,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,"no tenant-capable guard, no tenant input, no principal scope -> genuine product decision",True
POST,/v1/chat/conversations,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,ChatService.get_or_create_conversation: ,False,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,"no tenant-capable guard, no tenant input, no principal scope -> genuine product decision",True
POST,/v1/chat/conversations/{conversation_id}/messages,persona,Request.json:attribute assignment,cap=SELF;roles=admin_finance|admin_operations|admin_readonly,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,tenant_id,ChatService.send_message: ownership pred,True,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=False,tenant_input=True)",False
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,persona+direction,Request.json:attribute assignment,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,NONE,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/inventory/reservations,persona+direction,Request.json:attribute assignment,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,NONE,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/inventory/reservations/confirm,direction,Request.json:attribute assignment,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,InventoryService.confirm_reservation: ow,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/inventory/reservations/release,direction,Request.json:attribute assignment,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,InventoryService.release_reservation: ow,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/documents,direction,Request.json:attribute assignment,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,DocumentService.generate_document: owner,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/documents/{document_id}/send,direction,DocumentService.send_for_signature:attribute assignment,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,DocumentService.send_for_signature: owne,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/documents/{document_id}/void,direction,Request.json:attribute assignment,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,DocumentService.void_document: ownership,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/appointments/{appointment_id}/confirm,persona,AppointmentService.confirm_hold:.delete()|AppointmentService,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,AppointmentService.confirm_hold: ownersh,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/appointments/{appointment_id}/cancel,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,AppointmentService.cancel_appointment: o,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/appointments/{appointment_id}/reschedule,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,AppointmentService.reschedule_appointmen,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/appointments/{appointment_id}/no-show,direction,AppointmentService.mark_no_show:.add()|AppointmentService.ma,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,AppointmentService.mark_no_show: ownersh,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
DELETE,/v1/appointments/calendar/blocks/{block_id},direction,unblock_calendar:.delete(),cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_gu,super_admin|tenant_owner,tenant:update,False,,AppointmentService.unblock_calendar_time,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant:update) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/catalog,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=Fa,super_admin|tenant_owner,tenant:update,False,,ServiceCatalogService.create_item: owner,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,tenant permission tenant:update acting on an object addressed by id; tenant carried by the object row,False
PUT,/v1/catalog/{item_id},persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=Fa,super_admin|tenant_owner,tenant:update,False,,ServiceCatalogService.update_item: owner,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,tenant permission tenant:update acting on an object addressed by id; tenant carried by the object row,False
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,tenant_id|tenant_id,GeoService.update_staff_location: owners,False,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=True)",False
