file,category
frozen-scope-verification.md,historical (original halted 2F-38 attempt; preserved via recovery chain, not authored this slice)
implementation-summary.md,summary
branch-worktree-baseline.md,worktree
worktree-interference-guard.md,worktree
recovered-baseline-verification.md,baseline
frozen-contract-verification.md,scope
final-baseline-freeze.md,baseline
mounted-route-census.csv,census
mutation-disposition-census.md,census
canonical-role-certification.md,role
role-source-inventory.csv,role
persisted-role-value-audit.csv,role
demo-account-investigation.md,demo-account
readonly-demo-account-decision.md,demo-account
manager-demo-account-decision.md,demo-account
manual-role-confirmation-request.md,demo-account
role-remediation-plan.md,role
role-remediation-execution.md,role
migration-144-static-audit.md,migration
postgres-environment-evidence.md,migration
migration-144-readiness-report.md,migration
migration-144-apply-report.md,migration
migration-144-rollback-report.md,migration
migration-144-reapply-report.md,migration
migration-144-data-reconciliation.csv,migration
migration-144-authentication-smoke.md,migration
migration-144-authorization-smoke.md,migration
access-scope-certification.md,certification
staffpermission-certification.md,certification
cross-tenant-runtime-matrix.csv,certification
service-layer-certification.md,certification
platform-admin-mutation-certification.csv,certification
customer-self-service-certification.csv,certification
internal-worker-callback-certification.csv,certification
privacy-error-certification.md,certification
secret-redaction-certification.md,certification
audit-authority-certification.md,certification
set-c-recertification.csv,certification
n01-final-limitation-status.md,limitation
payments-financial-limitation-status.md,limitation
read-path-privacy-limitations.md,limitation
final-known-limitation-registry.csv,limitation
final-product-decision-registry.csv,limitation
certification-dimension-matrix.csv,dimension
application-wide-claim-boundary.md,boundary
slice-2f38-verifier-spec.md,verification
slice-2f38-verification-report.md,verification
verifier-negative-fixture-report.md,verification
targeted-test-report.md,test
phase2f-test-node-history.csv,test
phase2f-regression-report.md,test
full-backend-regression-report.md,test
live-http-evidence-report.md,test
deterministic-test-report.md,test
environment-evidence.md,environment
application-file-change-report.md,non-change
frontend-mobile-non-change-report.md,non-change
recovery-branch-non-change-report.md,non-change
historical-artifact-integrity-report.md,non-change
product-decisions-required.md,disclosure
known-limitations.md,disclosure
deferred-items.md,disclosure
documentation-corrections.md,disclosure
final-certification-report.md,status
final-status-rationale.md,status
approval-gate.md,status
artifact-manifest.csv,manifest
