capability,routes,model,table,owner_module,classification
Tenant service enablement (enable/disable),enable_service+disable_service,TenantService,tenant_services,admin_catalog,TENANT_OWNER_SERVICE_ENABLEMENT
Tenant enabled-service overrides,update_enabled_service,TenantService,tenant_services,admin_catalog,TENANT_OWNER_CATALOG_MAPPING
Tenant service-type selection,set_tenant_service_types,TenantServiceType,tenant_service_types,admin_catalog,TENANT_OWNER_CATALOG_MAPPING
Tenant brand selection,set_tenant_service_brands,TenantServiceBrand,tenant_service_brands,admin_catalog,TENANT_OWNER_CATALOG_MAPPING
Tenant type-level pricing override,set_tenant_type_pricing,TenantServiceType,tenant_service_types,admin_catalog,TENANT_OWNER_CATALOG_MAPPING
Tenant brand-level pricing override,set_tenant_brand_pricing,TenantServiceBrand,tenant_service_brands,admin_catalog,TENANT_OWNER_CATALOG_MAPPING
Tenant service publish/draft (setup wizard),publish_tenant_service+save_tenant_service_draft,TenantService,tenant_services,admin_catalog,TENANT_OWNER_CATALOG_MAPPING
Price-tier preview (no record touched),preview_tenant_price_options,none,n/a,admin_catalog,FALSE_POSITIVE
Platform master-service catalog (read-only reference from this router),n/a (no mutation route in tenant_router),MasterService+ServiceCategory+ServiceGroup+ServiceType+Brand+MasterServiceType+MasterServiceBrand,master_services+service_categories+etc,admin_catalog (platform-admin routers, out of scope this slice),PLATFORM_CATALOG_CANONICAL
Category entitlement check (read-only reference),n/a (no mutation route here),n/a,n/a,app.engines.entitlement,PRICING_REFERENCE-adjacent platform configuration (not a catalog model itself)
Tenant service-area existence check (read-only reference from publish_service),n/a,TenantServiceArea,tenant_service_areas,app.engines.serviceability (already closed, Slice 2F-7),TENANT_SERVICE_ENABLEMENT (cross-module read reference, not owned here)
