canonical_row_key,primary_gap,secondary_gap
R-02,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-03,PARENT_CHILD_OWNERSHIP_MISSING,PERMISSION_ONLY_NOT_SCOPE_AWARE
R-04,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-05,PERMISSION_ONLY_NOT_SCOPE_AWARE,STATE_TRANSITION_UNVERIFIED
R-12,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP
R-13,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none
R-14,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP + STATE_TRANSITION_UNVERIFIED
R-15,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-16,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-17,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-18,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-19,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none
R-20,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP
R-21,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP
R-22,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-23,PARENT_CHILD_OWNERSHIP_MISSING,PERMISSION_ONLY_NOT_SCOPE_AWARE
R-24,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-25,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-26,PERMISSION_ONLY_NOT_SCOPE_AWARE,none
R-27,PERMISSION_ONLY_NOT_SCOPE_AWARE,CLIENT_AMOUNT_TRUSTED (mark_paid field)
