route,covers_original_item,added_this_pass
/dev/ux-04/command-center,1,NO
/dev/ux-04/booking-list,"2, 5",NO
/dev/ux-04/booking-detail,"3, 4",YES
/dev/ux-04/job-detail,"7, 11, 13, 16, 17, 18",YES(sections added)
/dev/ux-04/inspection,10,YES
/dev/ux-04/status-transition,9,YES
/dev/ux-04/assignment-workspace,8,NO
/dev/ux-04/parts-approval,15,NO
/dev/ux-04/checklist-execution,12,YES
/dev/ux-04/complaints,"19, 20",YES
/dev/ux-04/media,22,YES
/dev/ux-04/sla-risk,23,YES
/dev/ux-04/operational-exceptions,24,YES
/dev/ux-04/staff-home,25,YES
/dev/ux-04/read-only,"26, 27",YES
