method,path,endpoint,classification,guard_status
POST,/v1/tenant/service-areas,create_tenant_service_area,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/provider/compliance/requests,create_my_request,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_ROLE_SCOPE_AWARE
POST,/v1/provider/compliance/requests/{request_id}/cancel,cancel_my_request,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_ROLE_SCOPE_AWARE
POST,/v1/provider/compliance/requests/{request_id}/generate-export,generate_export,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_ROLE_SCOPE_AWARE
POST,/v1/provider/compliance/consents/{consent_type}/withdraw,withdraw_consent,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_ROLE_SCOPE_AWARE
POST,/v1/provider/compliance/staff-requests/{request_id}/tenant-response,staff_tenant_response,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_ROLE_SCOPE_AWARE
POST,/v1/provider/compliance/customer-requests/{request_id}/tenant-response,customer_tenant_response,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_ROLE_SCOPE_AWARE
POST,/v1/reviews/{review_id}/flag,flag_review,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/reviews/requests,create_request,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/bookings/{booking_id}/confirm,confirm_booking,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/bookings/{booking_id}/reject,reject_booking,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/bookings/{booking_id}/convert-to-job,convert_to_job,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/bookings/reschedule/{reschedule_id}/accept,accept_reschedule,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/bookings/{booking_id}/notes,add_note,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs,create_job,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/jobs/{job_id}/assign,assign_job,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/jobs/{job_id}/accept,accept_job,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/reject-assignment,reject_assignment,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
PUT,/v1/jobs/{job_id}/status,update_status,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/jobs/{job_id}/assessment/start,start_assessment,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/assessment/complete,complete_assessment,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/quotes,create_job_quote,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/quotes/{quote_id}/send,send_job_quote,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/convert-to-repair,convert_to_repair,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/jobs/{job_id}/checklist/start,start_checklist,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/checklist/complete,complete_checklist,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/findings,submit_findings,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
PUT,/v1/jobs/{job_id}/checklist,update_checklist,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/quote,create_quote,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/close,close_job,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/jobs/{job_id}/generate-invoice,generate_invoice,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/jobs/{job_id}/record-payment,record_payment,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/jobs/{job_id}/void,void_job,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/jobs/{job_id}/notes,add_note,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/jobs/{job_id}/media,add_media,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/staff/me/jobs/{job_id}/accept,accept,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/staff/me/jobs/{job_id}/reject-assignment,reject,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
PUT,/v1/staff/me/jobs/{job_id}/status,update_status,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/staff/me/jobs/{job_id}/checklist/start,my_job_checklist_start,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/staff/me/jobs/{job_id}/checklist/complete,my_job_checklist_complete,EXISTING_CANONICAL_ROW_MATCH,STAFF_EXECUTION_ROLE_SCOPE_AWARE
POST,/v1/tenant/checklist-templates,create_template,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
PUT,/v1/tenant/checklist-templates/{template_id},update_template,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/tenant/checklist-templates/{template_id}/items,add_item,EXISTING_CANONICAL_ROW_MATCH,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/tenant/catalog/enable-service,enable_service,EXISTING_CANONICAL_ROW_MATCH,FULLY_PROTECTED
PUT,/v1/tenant/catalog/enabled-services/{tenant_service_id},update_enabled_service,EXISTING_CANONICAL_ROW_MATCH,FULLY_PROTECTED
