module,persona_total_PLATFORM_ADMIN_ONLY,persona_total_ADMIN_FINANCE_ONLY,persona_total_DEPRECATED_410,persona_total_TENANT_OWNER,persona_total_DELEGATED_STAFF,total_mutations
package_commerce.admin_router,15,2,3,0,0,20
finance_hub.admin_router,10,7,0,0,0,17

# Notes:
# package_commerce.admin_router: 2 require_super_admin (commission calc/deduct) + 13 require_permission
#   on a P.PACKAGES_* key granted to no role (package/feature/limit CRUD + purchase) = 15 PLATFORM_ADMIN_ONLY;
#   2 ADMIN_FINANCE_ONLY (credit-wallet adjust/top-up, FINANCE_USAGE_CREDITS_* granted to admin_finance);
#   3 DEPRECATED_410 (security-deposit mark-paid/refund/forfeit, intentional dead stubs pointing callers
#   to finance_hub as canonical).
# finance_hub.admin_router: 5 ADMIN_FINANCE_ONLY (deposits: adjust/approve/record-offline/refund/reject,
#   FINANCE_DEPOSITS_* granted to admin_finance) + 2 ADMIN_FINANCE_ONLY (topups: refund/retry-credit,
#   FINANCE_TOPUPS_* granted to admin_finance) = 7 ADMIN_FINANCE_ONLY; 5 payouts + 5 claims = 10
#   PLATFORM_ADMIN_ONLY (FINANCE_PAYOUTS_*/FINANCE_CLAIMS_* granted to NO role today, reachable only via
#   super_admin's P.ALL wildcard -- a real, documented permission-bundle gap, not a code security bug).
# NO tenant-owner or delegated-staff persona exists in either module -- both are exclusively platform-facing,
#   confirmed by direct role-permission-bundle inspection (not inferred from the admin_router name).
