method,path,endpoint_name,module,guard_before,tenant_scoping,record_type,real_mutation,disposition
POST,/v1/admin/jobs/{job_id}/calculate-commission,admin_calculate_commission,package_commerce.admin_router,require_super_admin,n/a (platform op on a job),ServiceJob/commission calc,YES,PLATFORM_ADMIN_ONLY
POST,/v1/admin/jobs/{job_id}/deduct-commission,admin_deduct_commission,package_commerce.admin_router,require_super_admin,n/a,ServiceJob/commission ledger,YES,PLATFORM_ADMIN_ONLY
POST,/v1/admin/packages,create_package,package_commerce.admin_router,require_permission(P.PACKAGES_CREATE) -- granted to NO role,platform-wide (package catalog, not tenant-scoped),Package,YES,PLATFORM_ADMIN_ONLY (permission granted to no role -- super_admin-only via P.ALL; documented gap, not a code bug)
PUT,/v1/admin/packages/{package_id},update_package,package_commerce.admin_router,require_permission(P.PACKAGES_UPDATE) -- granted to NO role,platform-wide,Package,YES,PLATFORM_ADMIN_ONLY (same permission gap)
DELETE,/v1/admin/packages/{package_id},delete_package,package_commerce.admin_router,require_permission(P.PACKAGES_ARCHIVE) -- granted to NO role,platform-wide,Package,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/packages/{package_id}/activate,activate_package,package_commerce.admin_router,require_permission(P.PACKAGES_ACTIVATE) -- granted to NO role,platform-wide,Package,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/packages/{package_id}/clone,clone_package,package_commerce.admin_router,require_permission(P.PACKAGES_CLONE) -- granted to NO role,platform-wide,Package,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/packages/{package_id}/deactivate,deactivate_package,package_commerce.admin_router,require_permission(P.PACKAGES_DEACTIVATE) -- granted to NO role,platform-wide,Package,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/packages/{package_id}/features,create_package_feature,package_commerce.admin_router,require_permission(P.PACKAGES_UPDATE) -- granted to NO role,platform-wide,PackageFeature,YES,PLATFORM_ADMIN_ONLY (same gap)
PUT,/v1/admin/packages/{package_id}/features/{feature_id},update_package_feature,package_commerce.admin_router,require_permission(P.PACKAGES_UPDATE) -- granted to NO role,platform-wide,PackageFeature,YES,PLATFORM_ADMIN_ONLY (same gap)
DELETE,/v1/admin/packages/{package_id}/features/{feature_id},delete_package_feature,package_commerce.admin_router,require_permission(P.PACKAGES_UPDATE) -- granted to NO role,platform-wide,PackageFeature,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/packages/{package_id}/limits,create_package_limit,package_commerce.admin_router,require_permission(P.PACKAGES_UPDATE) -- granted to NO role,platform-wide,PackageLimit,YES,PLATFORM_ADMIN_ONLY (same gap)
PUT,/v1/admin/packages/{package_id}/limits/{limit_id},update_package_limit,package_commerce.admin_router,require_permission(P.PACKAGES_UPDATE) -- granted to NO role,platform-wide,PackageLimit,YES,PLATFORM_ADMIN_ONLY (same gap)
DELETE,/v1/admin/packages/{package_id}/limits/{limit_id},delete_package_limit,package_commerce.admin_router,require_permission(P.PACKAGES_UPDATE) -- granted to NO role,platform-wide,PackageLimit,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/tenants/{tenant_id}/credit-wallet/adjust,admin_adjust_wallet,package_commerce.admin_router,require_permission(P.FINANCE_USAGE_CREDITS_ADJUST) -- granted to admin_finance,tenant_id in path (used directly by UsageCreditService),TenantWallet (via canonical UsageCreditService),YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/tenants/{tenant_id}/credit-wallet/top-up,admin_topup_wallet,package_commerce.admin_router,require_permission(P.FINANCE_USAGE_CREDITS_TOP_UP) -- granted to admin_finance,tenant_id in path,TenantWallet (via canonical UsageCreditService),YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/tenants/{tenant_id}/packages/{package_id}/purchase,admin_purchase_package,package_commerce.admin_router,require_permission(P.PACKAGES_CREATE) -- granted to NO role,tenant_id in path,TenantPackageAssignment (canonical, per MODULE-L5-30),YES,PLATFORM_ADMIN_ONLY (same permission gap; admin recording purchase on tenant's behalf)
POST,/v1/admin/tenants/{tenant_id}/security-deposit/mark-paid,admin_mark_deposit_paid,package_commerce.admin_router,none (unconditional HTTPException(410)),n/a,n/a (dead stub),NO (always raises before touching DB),DEPRECATED_410 (intentional, safe, documented -- canonical owner is finance_hub)
POST,/v1/admin/tenants/{tenant_id}/security-deposit/refund,admin_refund_deposit,package_commerce.admin_router,none (unconditional HTTPException(410)),n/a,n/a,NO,DEPRECATED_410 (same)
POST,/v1/admin/tenants/{tenant_id}/security-deposit/forfeit,admin_forfeit_deposit,package_commerce.admin_router,none (unconditional HTTPException(410)),n/a,n/a,NO,DEPRECATED_410 (same)
POST,/v1/admin/finance/deposits/{deposit_id}/adjust,adjust_deposit,finance_hub.admin_router,require_permission(FINANCE_DEPOSITS_UPDATE) -- granted to admin_finance,deposit_id (tenant scope via service),SecurityDeposit,YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/finance/deposits/{deposit_id}/approve,approve_deposit,finance_hub.admin_router,require_permission(FINANCE_DEPOSITS_APPROVE) -- granted to admin_finance,deposit_id,SecurityDeposit,YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/finance/deposits/{deposit_id}/record-offline,record_offline_deposit,finance_hub.admin_router,require_permission(FINANCE_DEPOSITS_UPDATE) -- granted to admin_finance,deposit_id,SecurityDeposit,YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/finance/deposits/{deposit_id}/refund,refund_deposit,finance_hub.admin_router,require_permission(FINANCE_DEPOSITS_REFUND) -- granted to admin_finance,deposit_id,SecurityDeposit,YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/finance/deposits/{deposit_id}/reject,reject_deposit,finance_hub.admin_router,require_permission(FINANCE_DEPOSITS_APPROVE) -- granted to admin_finance,deposit_id,SecurityDeposit,YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/finance/payouts/{payout_id}/approve,approve_payout,finance_hub.admin_router,require_permission(FINANCE_PAYOUTS_APPROVE) -- granted to NO role,payout_id,Payout,YES,PLATFORM_ADMIN_ONLY (permission granted to no role; real financial write blocked from admin_finance today -- flagged, see product-decisions-required.md)
POST,/v1/admin/finance/payouts/{payout_id}/mark-completed,mark_completed,finance_hub.admin_router,require_permission(FINANCE_PAYOUTS_COMPLETE) -- granted to NO role,payout_id,Payout,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/finance/payouts/{payout_id}/mark-failed,mark_failed,finance_hub.admin_router,require_permission(FINANCE_PAYOUTS_PROCESS) -- granted to NO role,payout_id,Payout,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/finance/payouts/{payout_id}/mark-processing,mark_processing,finance_hub.admin_router,require_permission(FINANCE_PAYOUTS_PROCESS) -- granted to NO role,payout_id,Payout,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/finance/payouts/{payout_id}/reject,reject_payout,finance_hub.admin_router,require_permission(FINANCE_PAYOUTS_REJECT) -- granted to NO role,payout_id,Payout,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/finance/topups/{topup_id}/refund,refund_topup,finance_hub.admin_router,require_permission(FINANCE_TOPUPS_REFUND) -- granted to admin_finance,topup_id,TopUp,YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/finance/topups/{topup_id}/retry-credit,retry_credit,finance_hub.admin_router,require_permission(FINANCE_TOPUPS_UPDATE) -- granted to admin_finance,topup_id,TopUp,YES,ADMIN_FINANCE_ONLY
POST,/v1/admin/finance/warranty-claims/{claim_id}/approve,approve_claim,finance_hub.admin_router,require_permission(FINANCE_CLAIMS_APPROVE) -- granted to NO role,claim_id,WarrantyClaim,YES,PLATFORM_ADMIN_ONLY (permission granted to no role; flagged)
POST,/v1/admin/finance/warranty-claims/{claim_id}/assign,assign_reviewer,finance_hub.admin_router,require_permission(FINANCE_CLAIMS_ASSIGN) -- granted to NO role,claim_id,WarrantyClaim,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/finance/warranty-claims/{claim_id}/reject,reject_claim,finance_hub.admin_router,require_permission(FINANCE_CLAIMS_REJECT) -- granted to NO role,claim_id,WarrantyClaim,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/finance/warranty-claims/{claim_id}/request-documents,request_documents,finance_hub.admin_router,require_permission(FINANCE_CLAIMS_ASSIGN) -- granted to NO role,claim_id,WarrantyClaim,YES,PLATFORM_ADMIN_ONLY (same gap)
POST,/v1/admin/finance/warranty-claims/{claim_id}/settle,settle_claim,finance_hub.admin_router,require_permission(FINANCE_CLAIMS_SETTLE) -- granted to NO role,claim_id,WarrantyClaim,YES,PLATFORM_ADMIN_ONLY (same gap)
