change_type,method,path,module,previous_guard_status,new_guard_status,reason
REMOVE_DUPLICATE,POST,/v1/staff/service-jobs/{job_id}/accept,app.engines.home_service_assignment.staff_router,STAFF_EXECUTION_ROLE_SCOPE_AWARE (duplicate row),removed,exact byte-identical duplicate row from an earlier slice double-append
REMOVE_DUPLICATE,POST,/v1/staff/service-jobs/{job_id}/reject,app.engines.home_service_assignment.staff_router,STAFF_EXECUTION_ROLE_SCOPE_AWARE (duplicate row),removed,exact byte-identical duplicate row from an earlier slice double-append
REMOVE_FALSE_POSITIVE,POST,/v1/tenant/catalog/price-options/preview,app.engines.admin_catalog.tenant_router,FALSE_POSITIVE (not a real mutation),removed,POST-verb preview/query endpoint mis-included as a mutation in an earlier slice
NUMERATOR_CORRECTION,(9 rows),/v1/tenant/catalog/*,app.engines.admin_catalog.tenant_router,FULLY_PROTECTED (previously excluded from VERIFIED set),FULLY_PROTECTED (now included in VERIFIED set),prior slices' recount scripts omitted this literal guard_status string from their protected set
GUARD_UPGRADE,POST,/v1/jobs/{job_id}/assessment/start,app.engines.field_ops.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,STAFF_EXECUTION_ROLE_SCOPE_AWARE,added require_staff_or_technician_only (2F-14A)
GUARD_UPGRADE,POST,/v1/jobs/{job_id}/assessment/complete,app.engines.field_ops.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,STAFF_EXECUTION_ROLE_SCOPE_AWARE,added require_staff_or_technician_only (2F-14A)
GUARD_UPGRADE,POST,/v1/jobs/{job_id}/close,app.engines.field_ops.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,upgraded to require_tenant_mutation_permission (2F-14A)
GUARD_UPGRADE,POST,/v1/jobs/{job_id}/generate-invoice,app.engines.field_ops.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,upgraded to require_tenant_mutation_permission (2F-14A)
GUARD_UPGRADE,POST,/v1/jobs/{job_id}/record-payment,app.engines.field_ops.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,upgraded to require_tenant_mutation_permission (2F-14A)
GUARD_UPGRADE,POST,/v1/jobs/{job_id}/deduct-commission,app.engines.field_ops.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,upgraded to require_tenant_mutation_permission (2F-14A)
GUARD_UPGRADE,POST,/v1/jobs/{job_id}/financial-close,app.engines.field_ops.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,upgraded to require_tenant_mutation_permission (2F-14A)
GUARD_UPGRADE,POST,/v1/jobs/{job_id}/void,app.engines.field_ops.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,upgraded to require_tenant_mutation_permission + fixed cross-tenant IDOR in service (2F-14A)
NO_CHANGE_SERVICE_LEVEL_FIX,POST,/v1/jobs/{job_id}/notes,app.engines.field_ops.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (unchanged by tool convention),tenant/ownership/customer-denial fixed service-side (tool-invisible) -- see jobnote-access-control.md
NO_CHANGE_SERVICE_LEVEL_FIX,POST,/v1/jobs/{job_id}/media,app.engines.field_ops.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (unchanged by tool convention),tenant/ownership/customer-denial fixed service-side (tool-invisible) -- see jobmedia-access-control.md
