route_function,role_check,mutation_scope_check,tenant_ownership,object_ownership,sender_derivation,recipient_check,readonly_tenant_denied,unknown_role_denied,customer_denied,guest_denied,super_admin_explicit
provider_mark_read,require_owner_or_office_staff_mutation,yes,n/a,service-layer user_id match,jwt,self,yes,yes,yes,yes,exempt from access-scope check
provider_mark_all_read,require_owner_or_office_staff_mutation,yes,n/a,service-layer user_id match,jwt,self,yes,yes,yes,yes,exempt
provider_update_pref,require_owner_or_office_staff_mutation,yes,jwt-derived tenant_id on write,service-layer user_id match,jwt,self,yes,yes,yes,yes,exempt
provider_create_thread,require_owner_or_office_staff_mutation,yes,enforced this slice (record tenant match),enforced this slice (record must resolve),jwt,linked record,yes,yes,yes,yes,exempt
provider_send_message,require_owner_or_office_staff_mutation,yes,validate_thread_access (tenant match),thread must be open + participant can_send,jwt,thread participants,yes,yes,yes,yes,exempt
provider_mark_thread_read,require_owner_or_office_staff_mutation,yes,validate_thread_access,n/a,jwt,self,yes,yes,yes,yes,exempt
staff_mark_read,require_staff_or_technician_only,n/a (role-only dependency),n/a,service-layer user_id match,jwt,self,n/a (dependency has no access-scope check by design),yes,yes,yes,n/a (excludes super_admin by design)
staff_mark_all_read,require_staff_or_technician_only,n/a,n/a,service-layer user_id match,jwt,self,n/a,yes,yes,yes,n/a
staff_send_message,require_staff_or_technician_only,n/a,validate_thread_access,thread must be open + participant can_send,jwt,thread participants,n/a,yes,yes,yes,n/a
staff_mark_thread_read,require_staff_or_technician_only,n/a,validate_thread_access,n/a,jwt,self,n/a,yes,yes,yes,n/a
