metric,value,note
canonical_rows_before,257,
canonical_rows_after,257,unchanged -- gate failed
verified_before,214,
verified_after,214,unchanged
unprotected_before,43,
unprotected_after,43,unchanged
canonical_hash_before,45244cd9540456db,
canonical_hash_after,45244cd9540456db,
matrix_hash_before,4c7c3bce02096a43,
matrix_hash_after,4c7c3bce02096a43,
deferred_if_gate_had_passed,214/259 with 45 unprotected,NOT applied
population_total,123,
burned_1,24,
burned_2,24,
burned_overlap,0,
remaining_eligible,75,"all mounted, 0 disappeared"
third_holdout_size,24,
third_all_field_agreement,21/24,required 24/24
third_persona,24/24,D-01..D-06 hold
third_tenant_direction,24/24,
third_capability_action,24/24,
third_abstention_reason,24/24,
third_side_effect,23/24,
third_capability_family,22/24,
