route,method,path,persona,guard_before_2f15a,guard_after_2f15a,verified
booking_preflight,POST,/v1/bookings/preflight,QUERY_NO_PERSISTENCE,require_permission(BOOKING_CREATE),require_permission(BOOKING_CREATE),FALSE_POSITIVE_EXEMPTED
create_booking,POST,/v1/bookings,DUAL_CUSTOMER_TENANT,require_tenant_mutation_permission(BOOKING_CREATE),unchanged (2F-15),YES
get_booking,GET,/v1/bookings/{id},READ,require_permission(BOOKING_READ),unchanged,N/A_NOT_MUTATION
list_bookings,GET,/v1/bookings,READ,require_permission(BOOKING_READ),unchanged,N/A_NOT_MUTATION
cancel_booking,POST,/v1/bookings/{id}/cancel,DUAL_CUSTOMER_TENANT,require_permission(BOOKING_CANCEL),require_tenant_mutation_permission(BOOKING_CANCEL),YES
list_by_customer,GET,/v1/bookings/customer/{id},READ,get_current_user,unchanged,N/A_NOT_MUTATION
list_by_tenant,GET,/v1/bookings/tenant/{id},READ,get_current_user,unchanged,N/A_NOT_MUTATION
confirm_booking,POST,/v1/bookings/{id}/confirm,TENANT_ONLY,require_tenant_mutation_permission(BOOKING_MANAGE),unchanged (2F-15),YES
reject_booking,POST,/v1/bookings/{id}/reject,TENANT_ONLY,require_tenant_mutation_permission(BOOKING_MANAGE),unchanged (2F-15),YES
convert_to_job,POST,/v1/bookings/{id}/convert-to-job,TENANT_ONLY,require_tenant_mutation_permission(BOOKING_MANAGE),unchanged (2F-15),YES
request_reschedule,POST,/v1/bookings/{id}/reschedule/request,DUAL_CUSTOMER_TENANT,require_permission(BOOKING_RESCHEDULE),require_tenant_mutation_permission(BOOKING_RESCHEDULE),YES
accept_reschedule,POST,/v1/bookings/reschedule/{id}/accept,TENANT_ONLY,require_permission(TENANT_UPDATE),require_tenant_mutation_permission(TENANT_UPDATE),YES
reject_reschedule,POST,/v1/bookings/reschedule/{id}/reject,TENANT_ONLY,require_permission(TENANT_UPDATE),require_tenant_mutation_permission(TENANT_UPDATE),YES
get_timeline,GET,/v1/bookings/{id}/timeline,READ,get_current_user,unchanged,N/A_NOT_MUTATION
add_note,POST,/v1/bookings/{id}/notes,TENANT_ONLY_STAFF_PLUS,get_current_user (no persona check),require_staff_or_above_mutation,YES
list_notes,GET,/v1/bookings/{id}/notes,READ,get_current_user,unchanged,N/A_NOT_MUTATION
check_slots,GET,/v1/bookings/tenant/{id}/slots,READ,get_current_user,unchanged,N/A_NOT_MUTATION
cancellation_policy,GET,/v1/bookings/tenant/{id}/cancellation-policy,READ,get_current_user,unchanged,N/A_NOT_MUTATION
void_booking,POST,/v1/bookings/{id}/void,PLATFORM_ADMIN_ONLY,require_super_admin,unchanged,YES
search,GET,/v1/bookings/tenant/{id}/search,READ,get_current_user,unchanged,N/A_NOT_MUTATION
